BatchNo, BoardNo, Color, UPI, X, Y, R, L, W, Area, Type, SubCode
Cabinet2,1,0,20688201044,0,0,90,689.0,168.0,1.15752E7,0,0
Cabinet2,1,0,20648361074,0,6920,0,2308.0,528.0,1.218624E8,0,0
Cabinet2,1,0,20648361078,1680,0,0,2271.0,418.0,9.49278E7,0,0
Cabinet2,1,0,20688201122,1680,4180,0,2248.0,88.0,1.97824E7,0,0
Cabinet2,1,0,20688201140,1680,5060,0,2238.0,88.0,1.96944E7,0,0
Cabinet2,1,0,20712531086,1680,6040,0,2108.0,88.0,1.85504E7,0,0
Cabinet2,1,0,20711281068,23080,6060,90,614.0,40.0,2456000.0,0,0
Cabinet2,1,0,20710131087,23480,6020,90,618.0,88.0,5438400.0,0,0
Cabinet2,2,0,20648361012,0,0,0,641.0,68.0,4358800.0,0,0
Cabinet2,2,0,20663981002,0,6520,0,708.0,568.0,4.02144E7,0,0
Cabinet2,2,0,20663981003,0,680,0,708.0,568.0,4.02144E7,0,0
Cabinet2,2,0,20687051060,6410,0,0,771.0,68.0,5242800.0,0,0
Cabinet2,2,0,20663981012,7080,6520,0,708.0,568.0,4.02144E7,0,0
Cabinet2,2,0,20663981013,7080,680,0,708.0,568.0,4.02144E7,0,0
Cabinet2,2,0,20711281006,14120,0,0,771.0,68.0,5242800.0,0,0
Cabinet2,2,0,20663981018,14160,6520,0,708.0,568.0,4.02144E7,0,0
Cabinet2,2,0,20663981019,14160,680,0,708.0,568.0,4.02144E7,0,0
Cabinet2,2,0,20663981072,21240,3600,90,860.0,303.0,2.6058E7,0,0
Cabinet2,2,0,20687051121,21830,0,0,211.0,337.0,7110700.0,0,0
Cabinet2,3,0,20648361108,0,0,0,221.0,367.0,8110700.0,0,0
Cabinet2,3,0,20687051002,0,6520,0,2208.0,568.0,1.254144E8,0,0
Cabinet2,3,0,20710131044,2210,0,0,2108.0,568.0,1.197344E8,0,0
Cabinet2,3,0,20687051124,0,3670,0,210.0,283.0,5943000.0,0,0
Cabinet2,3,0,20663981111,2100,5680,0,708.0,58.0,4106400.0,0,0
Cabinet2,3,0,20687051077,9180,5680,0,571.0,68.0,3882800.0,0,0
Cabinet2,3,0,20648361086,14890,5680,0,678.0,73.0,4949400.0,0,0
Cabinet2,3,0,20688201032,22080,5790,90,641.0,108.0,6922800.0,0,0
Cabinet2,3,0,20687051031,23290,0,90,1059.0,108.0,1.14372E7,0,0
Cabinet2,4,0,20710131046,0,0,0,2108.0,568.0,1.197344E8,0,0
Cabinet2,4,0,20688201031,0,5790,90,641.0,567.0,3.63447E7,0,0
Cabinet2,4,0,20648361062,5670,6020,0,1868.0,618.0,1.154424E8,0,0
Cabinet2,4,0,20712531063,21080,0,0,170.0,283.0,4811000.0,0,0
Cabinet2,4,0,20688201128,22780,0,90,288.0,158.0,4550400.0,0,0
Cabinet2,4,0,20712531085,21080,2830,90,318.0,88.0,2798400.0,0,0
Cabinet2,4,0,20687051117,21960,2880,90,308.0,238.0,7330400.0,0,0
Cabinet2,5,0,20712531067,0,0,90,403.0,358.0,1.44274E7,0,0
Cabinet2,5,0,20648361063,0,6020,0,1868.0,618.0,1.154424E8,0,0
Cabinet2,5,0,20711281041,3580,0,0,1808.0,568.0,1.026944E8,0,0
Cabinet2,5,0,20710131070,0,4030,90,191.0,357.0,6818700.0,0,0
Cabinet2,5,0,20663981041,18680,6770,0,571.0,543.0,3.10053E7,0,0
Cabinet2,5,0,20712531010,21660,0,0,271.0,567.0,1.53657E7,0,0
Cabinet2,5,0,20663981039,18680,5690,0,571.0,108.0,6166800.0,0,0
Cabinet2,6,0,20688201109,0,0,90,588.0,358.0,2.10504E7,0,0
Cabinet2,6,0,20711281042,0,6520,0,1808.0,568.0,1.026944E8,0,0
Cabinet2,6,0,20648361004+20687051058+20663981040+20712531027+20711281017,3580,0,0,1703.5,567.0,9.658845E7,0,0
Cabinet2,6,0,20710131018,0,5890,0,358.0,63.0,2255400.0,0,0
Cabinet2,6,0,20663981078,3580,5670,0,908.0,73.0,6628400.0,0,0
Cabinet2,6,0,20710131043,18080,6390,90,581.0,517.0,3.00377E7,0,0
Cabinet2,6,0,20663981058,12660,5670,0,1164.0,68.0,7915200.0,0,0
Cabinet2,6,0,20648361030,20615,0,0,371.0,567.0,2.10357E7,0,0
Cabinet2,6,0,20687051044,23250,6390,90,581.0,108.0,6274800.0,0,0
Cabinet2,7,0,20687051107,0,0,0,708.0,108.0,7646400.0,0,0
Cabinet2,7,0,20648361065,0,2930,0,1850.0,927.0,1.71495E8,0,0
Cabinet2,7,0,20712531035,0,1080,0,708.0,184.0,1.30272E7,0,0
Cabinet2,7,0,20663981027+20687051113+20663981029+20712531012,7080,0,0,1041.0,292.5,3.044925E7,0,0
Cabinet2,7,0,20688201045,17490,0,0,689.0,268.0,1.84652E7,0,0
Cabinet2,7,0,20710131047,18500,6390,90,581.0,517.0,3.00377E7,0,0
Cabinet2,7,0,20648361092,18500,2680,0,433.0,367.0,1.58911E7,0,0
Cabinet2,7,0,20648361129,23670,8520,0,73.0,368.0,2686400.0,0,0
Cabinet2,7,0,20712531077,22830,2680,90,368.0,88.0,3238400.0,0,0
Cabinet2,7,0,20711281038,23710,2680,90,571.0,68.0,3882800.0,0,0
Cabinet2,8,0,20712531028,0,0,0,708.0,403.0,2.85324E7,0,0
Cabinet2,8,0,20648361031+20687051050+20688201061+20663981116+20687051092,0,8820,0,1222.0,338.0,4.13036E7,0,0
Cabinet2,8,0,20648361003+20687051061+20688201144+20688201062+20711281018,0,4070,0,1683.0,475.0,7.99425E7,0,0
Cabinet2,8,0,20648361052,7080,0,0,1017.0,338.0,3.43746E7,0,0
Cabinet2,8,0,20648361047,7080,3380,0,1018.0,68.0,6922400.0,0,0
Cabinet2,8,0,20688201126+20687051112+20710131017+20712531031,12220,8820,0,937.5,338.0,3.16875E7,0,0
Cabinet2,8,0,20687051048,17250,0,0,708.0,258.0,1.82664E7,0,0
Cabinet2,8,0,20663981113,17250,2580,0,708.0,58.0,4106400.0,0,0
Cabinet2,8,0,20711281011,16830,4240,0,689.0,458.0,3.15562E7,0,0
Cabinet2,8,0,20688201046,17260,3160,0,711.0,108.0,7678800.0,0,0
Cabinet2,8,0,20687051123,21595,8830,0,211.0,337.0,7110700.0,0,0
Cabinet2,8,0,20687051067,23720,7990,90,421.0,68.0,2862800.0,0,0
Cabinet2,8,0,20648361032,23720,4280,0,68.0,371.0,2522800.0,0,0
Cabinet2,9,0,20688201123+20687051111,0,0,0,829.5,337.0,2.795415E7,0,0
Cabinet2,9,0,20663981032,0,6520,0,708.0,568.0,4.02144E7,0,0
Cabinet2,9,0,20688201068,0,3370,0,880.0,303.0,2.6664E7,0,0
Cabinet2,9,0,20687051001,7080,6490,90,571.0,517.0,2.95207E7,0,0
Cabinet2,9,0,20688201051,8295,0,0,708.0,308.0,2.18064E7,0,0
Cabinet2,9,0,20663981063,8800,3080,0,708.0,341.0,2.41428E7,0,0
Cabinet2,9,0,20711281028,12250,6520,0,818.0,568.0,4.64624E7,0,0
Cabinet2,9,0,20687051021,15375,0,0,689.0,308.0,2.12212E7,0,0
Cabinet2,9,0,20648361096,15880,3080,0,433.0,343.0,1.48519E7,0,0
Cabinet2,9,0,20648361107,20430,4070,90,813.0,368.0,2.99184E7,0,0
Cabinet2,9,0,20687051128,22265,0,0,211.0,337.0,7110700.0,0,0
Cabinet2,9,0,20687051026,20210,3370,0,401.0,68.0,2726800.0,0,0
Cabinet2,10,0,20648361127,0,0,0,841.0,276.0,2.32116E7,0,0
Cabinet2,10,0,20663981033,0,6520,0,708.0,568.0,4.02144E7,0,0
Cabinet2,10,0,20663981088,0,2760,0,708.0,376.0,2.66208E7,0,0
Cabinet2,10,0,20663981042,7080,6520,0,708.0,568.0,4.02144E7,0,0
Cabinet2,10,0,20663981038,8410,0,90,571.0,567.0,3.23757E7,0,0
Cabinet2,10,0,20712531081,7080,2760,90,373.0,88.0,3282400.0,0,0
Cabinet2,10,0,20688201116,7960,5840,90,68.0,358.0,2434400.0,0,0
Cabinet2,10,0,20663981004,14080,0,0,861.0,567.0,4.88187E7,0,0
Cabinet2,10,0,20663981043,14160,6520,0,708.0,568.0,4.02144E7,0,0
Cabinet2,10,0,20688201143,11540,6080,0,690.0,44.0,3036000.0,0,0
Cabinet2,10,0,20663981034,21240,6530,0,298.0,567.0,1.68966E7,0,0
Cabinet2,10,0,20688201060,22690,0,0,171.0,567.0,9695700.0,0,0
Cabinet2,11,0,20648361025,0,0,0,871.0,68.0,5922800.0,0,0
Cabinet2,11,0,20688201053+20712531026,0,6470,0,871.0,573.0,4.99083E7,0,0
Cabinet2,11,0,20688201004,0,680,0,621.0,567.0,3.52107E7,0,0
Cabinet2,11,0,20688201112,6210,680,90,569.5,881.0,5.017295E7,0,0
Cabinet2,11,0,20688201034,8710,7460,0,640.0,474.0,3.0336E7,0,0
Cabinet2,11,0,20688201006,8710,0,90,68.0,621.0,4222800.0,0,0
Cabinet2,11,0,20687051038,8710,6380,0,1059.0,108.0,1.14372E7,0,0
Cabinet2,11,0,20648361026,14920,0,0,871.0,68.0,5922800.0,0,0
Cabinet2,11,0,20663981007,15110,7460,0,860.0,474.0,4.0764E7,0,0
Cabinet2,11,0,20688201024,15020,680,0,861.0,567.0,4.88187E7,0,0
Cabinet2,11,0,20648361088,23630,0,90,678.0,73.0,4949400.0,0,0
Cabinet2,11,0,20688201136,23710,6800,90,540.0,68.0,3672000.0,0,0
Cabinet2,11,0,20687051066,19300,6380,0,421.0,108.0,4546800.0,0,0
Cabinet2,12,0,20663981069,0,0,0,708.0,358.0,2.53464E7,0,0
Cabinet2,12,0,20688201054+20688201080,0,7450,0,1013.0,475.0,4.81175E7,0,0
Cabinet2,12,0,20663981071,0,3580,0,708.0,358.0,2.53464E7,0,0
Cabinet2,12,0,20711281029,7080,0,0,818.0,568.0,4.64624E7,0,0
Cabinet2,12,0,20688201025,10130,7460,0,860.0,474.0,4.0764E7,0,0
Cabinet2,12,0,20663981053,7080,6370,0,1164.0,108.0,1.25712E7,0,0
Cabinet2,12,0,20710131005,7080,5680,0,1071.0,68.0,7282800.0,0,0
Cabinet2,12,0,20711281079,15260,0,0,771.0,567.0,4.37157E7,0,0
Cabinet2,12,0,20711281033,18730,6490,90,571.0,567.0,3.23757E7,0,0
Cabinet2,12,0,20711281025,22970,0,90,421.0,108.0,4546800.0,0,0
Cabinet2,12,0,20688201119,17790,5670,90,68.0,358.0,2434400.0,0,0
Cabinet2,13,0,20663981051,0,0,0,708.0,568.0,4.02144E7,0,0
Cabinet2,13,0,20648361064,0,6030,0,927.0,617.0,5.71959E7,0,0
Cabinet2,13,0,20687051120,7080,0,90,598.0,338.0,2.02124E7,0,0
Cabinet2,13,0,20648361067,9270,6030,0,927.0,617.0,5.71959E7,0,0
Cabinet2,13,0,20663981052,10460,0,0,708.0,568.0,4.02144E7,0,0
Cabinet2,13,0,20648361002,17540,0,0,571.0,518.0,2.95778E7,0,0
Cabinet2,13,0,20663981104,18540,8620,0,571.0,358.0,2.04418E7,0,0
Cabinet2,13,0,20712531059,18540,5240,0,403.0,338.0,1.36214E7,0,0
Cabinet2,13,0,20688201010,23250,0,90,771.0,108.0,8326800.0,0,0
Cabinet2,14,0,20688201065,0,0,0,758.0,358.0,2.71364E7,0,0
Cabinet2,14,0,20710131040,0,7460,0,770.0,474.0,3.6498E7,0,0
Cabinet2,14,0,20648361123,0,3580,0,878.0,388.0,3.40664E7,0,0
Cabinet2,14,0,20688201111,7580,0,0,588.0,358.0,2.10504E7,0,0
Cabinet2,14,0,20648361051,7700,7890,0,1018.0,431.0,4.38758E7,0,0
Cabinet2,14,0,20688201079+20687051023+20687051093+20712531070,8780,3580,0,625.5,367.5,2.2987125E7,0,0
Cabinet2,14,0,20710131009,8780,7260,0,1108.0,63.0,6980400.0,0,0
Cabinet2,14,0,20710131069,13460,0,0,578.0,358.0,2.06924E7,0,0
Cabinet2,14,0,20688201083,17880,8620,0,458.0,358.0,1.63964E7,0,0
Cabinet2,14,0,20648361091,15035,3580,0,878.0,368.0,3.23104E7,0,0
Cabinet2,14,0,20688201085,19240,0,0,458.0,358.0,1.63964E7,0,0
Cabinet2,14,0,20648361050,17880,7940,0,641.0,68.0,4358800.0,0,0
Cabinet2,14,0,20710131072,22460,8630,0,191.0,357.0,6818700.0,0,0
Cabinet2,14,0,20687051085,23820,0,90,708.0,58.0,4106400.0,0,0
Cabinet2,14,0,20711281030,19860,7260,0,421.0,68.0,2862800.0,0,0
Cabinet2,15,0,20687051055,0,0,0,689.0,542.0,3.73438E7,0,0
Cabinet2,15,0,20648361071,0,6030,0,927.0,617.0,5.71959E7,0,0
Cabinet2,15,0,20663981115,0,5420,0,690.0,58.0,4002000.0,0,0
Cabinet2,15,0,20648361022,6890,0,0,871.0,518.0,4.51178E7,0,0
Cabinet2,15,0,20710131035,9270,6530,0,771.0,567.0,4.37157E7,0,0
Cabinet2,15,0,20688201047,6900,5180,0,871.0,68.0,5922800.0,0,0
Cabinet2,15,0,20710131038,9270,5900,0,808.0,63.0,5090400.0,0,0
Cabinet2,15,0,20710131001,15600,0,0,872.0,508.0,4.42976E7,0,0
Cabinet2,15,0,20687051071,16980,6530,0,421.0,567.0,2.38707E7,0,0
Cabinet2,15,0,20648361128,15610,5080,0,860.0,73.0,6278000.0,0,0
Cabinet2,15,0,20663981105,21190,6490,0,321.0,571.0,1.83291E7,0,0
Cabinet2,15,0,20648361041,17350,5850,90,68.0,343.0,2332400.0,0,0
Cabinet2,15,0,20688201134,20780,5810,90,68.0,358.0,2434400.0,0,0
Cabinet2,16,0,20712531041,0,0,0,751.0,333.0,2.50083E7,0,0
Cabinet2,16,0,20688201014,0,7020,0,771.0,518.0,3.99378E7,0,0
Cabinet2,16,0,20648361093,0,3330,0,878.0,368.0,3.23104E7,0,0
Cabinet2,16,0,20688201077,7510,0,0,721.0,174.0,1.25454E7,0,0
Cabinet2,16,0,20711281003,7710,7020,0,771.0,518.0,3.99378E7,0,0
Cabinet2,16,0,20688201124,7510,1740,0,801.0,158.0,1.26558E7,0,0
Cabinet2,16,0,20711281010,8780,3320,0,689.0,368.0,2.53552E7,0,0
Cabinet2,16,0,20688201005,14720,0,0,621.0,108.0,6706800.0,0,0
Cabinet2,16,0,20648361055,15420,7030,90,517.0,452.0,2.33684E7,0,0
Cabinet2,16,0,20710131029,14720,1080,0,908.0,63.0,5720400.0,0,0
Cabinet2,16,0,20688201127,15520,1710,90,158.0,801.0,1.26558E7,0,0
Cabinet2,16,0,20648361109,15670,3290,0,813.0,368.0,2.99184E7,0,0
Cabinet2,16,0,20648361060,19940,7030,90,517.0,433.0,2.23861E7,0,0
Cabinet2,16,0,20712531011,20930,0,0,271.0,108.0,2926800.0,0,0
Cabinet2,16,0,20663981118,23800,0,90,690.0,58.0,4002000.0,0,0
Cabinet2,17,0,20663981090,0,0,90,708.0,376.0,2.66208E7,0,0
Cabinet2,17,0,20648361058,0,7680,0,678.0,452.0,3.06456E7,0,0
Cabinet2,17,0,20688201002,3760,0,90,708.0,568.0,4.02144E7,0,0
Cabinet2,17,0,20687051140,0,7100,0,690.0,58.0,4002000.0,0,0
Cabinet2,17,0,20688201066,6780,8630,0,881.0,357.0,3.14517E7,0,0
