Container length: 24400
Container width: 12200
Boxes Volume: 2.858792E8
Container Volume: 297680000
Utilization: 96.03574307981725

Packed Boxes: 17
format: x y length width
0 0  4680 4120
0 11120  8460 1080
0 7540  3580 3580
0 4120  6220 3210
3580 7540  7080 3580
4680 0  7580 3580
8460 11120  7710 1080
6220 3580  7580 3580
10660 7540  7580 3580
12260 0  7580 3580
16170 11120  7710 1080
13800 3580  7080 3580
18240 7430  2760 3690
19840 0  4030 3380
21000 3410  1080 7710
22080 3410  1080 7710
23160 3410  1080 7710

numOfBlemishes: 0
