BatchNo, BoardNo, Color, Specification, BoardArea, WorkPiecesQty, WorkPiecesArea, Ratio, OddArea
Cabinet2,1,0,24400*12200,2.9768E8,8,2.94287E8,98.86018543402311%,
Cabinet2,2,0,24400*12200,2.9768E8,11,2.892995E8,97.18472856758935%,
Cabinet2,3,0,24400*12200,2.9768E8,9,2.905011E8,97.58838349905939%,
Cabinet2,4,0,24400*12200,2.9768E8,7,2.910117E8,97.75990997043804%,
Cabinet2,5,0,24400*12200,2.9768E8,7,2.919207E8,98.06527143241065%,
Cabinet2,6,0,24400*12200,2.9768E8,9,2.9448045E8,98.92517132491267%,
Cabinet2,7,0,24400*12200,2.9768E8,10,2.9681945E8,99.7109144047299%,
Cabinet2,8,0,24400*12200,2.9768E8,13,2.968671E8,99.72692152647137%,
Cabinet2,9,0,24400*12200,2.9768E8,12,2.9259385E8,98.291403520559%,
Cabinet2,10,0,24400*12200,2.9768E8,12,2.870151E8,96.41732733136253%,
Cabinet2,11,0,24400*12200,2.9768E8,13,2.9588445E8,99.39681873152378%,
Cabinet2,12,0,24400*12200,2.9768E8,11,2.889633E8,97.07178849771567%,
Cabinet2,13,0,24400*12200,2.9768E8,9,2.870008E8,96.41252351518409%,
Cabinet2,14,0,24400*12200,2.9768E8,15,2.96536825E8,99.61597184896534%,
Cabinet2,15,0,24400*12200,2.9768E8,13,2.959306E8,99.41232195646332%,
Cabinet2,16,0,24400*12200,2.9768E8,15,2.954354E8,99.24596882558453%,
Cabinet2,17,0,24400*12200,2.9768E8,12,2.915209E8,97.9309661381349%,
Cabinet2,18,0,24400*12200,2.9768E8,11,2.801834E8,94.12234614350982%,
Cabinet2,19,0,24400*12200,2.9768E8,12,2.955253E8,99.27616904058048%,
Cabinet2,20,0,24400*12200,2.9768E8,16,2.958368E8,99.38081160978231%,
Cabinet2,21,0,24400*12200,2.9768E8,16,2.95416E8,99.2394517602795%,
Cabinet2,22,0,24400*12200,2.9768E8,16,2.954763E8,99.25970841171727%,
Cabinet2,23,0,24400*12200,2.9768E8,15,2.957007E8,99.33509137328676%,
Cabinet2,24,0,24400*12200,2.9768E8,14,2.868985E8,96.37815775329213%,
Cabinet2,25,0,24400*12200,2.9768E8,9,2.877678E8,96.6701827465735%,
Cabinet2,26,0,24400*12200,2.9768E8,13,2.896086E8,97.28856490190809%,
Cabinet2,27,0,24400*12200,2.9768E8,16,2.946755E8,98.99069470572427%,
Cabinet2,28,0,24400*12200,2.9768E8,17,2.952171E8,99.17263504434291%,
Cabinet2,29,0,24400*12200,2.9768E8,16,2.932212E8,98.50214995968825%,
Cabinet2,30,0,24400*12200,2.9768E8,15,2.916044E8,97.95901639344262%,
Cabinet2,31,0,24400*12200,2.9768E8,16,2.89151E8,97.1348427841978%,
Cabinet2,32,0,24400*12200,2.9768E8,13,2.863752E8,96.20236495565709%,
Cabinet2,33,0,24400*12200,2.9768E8,17,2.858792E8,96.03574307981725%,
Cabinet2,34,0,24400*12200,2.9768E8,12,2.885124E8,96.92031711905403%,
Cabinet2,35,0,24400*12200,2.9768E8,10,2.850541E8,95.75856624563289%,
Cabinet2,36,0,24400*12200,2.9768E8,11,2.890177E8,97.09006315506585%,
Cabinet2,37,0,24400*12200,2.9768E8,14,2.871001E8,96.44588148347219%,
Cabinet2,38,0,24400*12200,2.9768E8,17,2.864129E8,96.21502956194573%,
Cabinet2,39,0,24400*12200,2.9768E8,10,2.866343E8,96.28940472991131%,
Cabinet2,40,0,24400*12200,2.9768E8,12,2.885782E8,96.94242139209891%,
