Container length: 24400
Container width: 12200
Boxes Volume: 2.941905993E8
Container Volume: 297680000
Utilization: 98.82780143106692

Packed Boxes: 19
format: x y length width
0 0  10230 2990
0 3200  1580 9000
1580 9260  8172 2940
1580 8180  11450 1080
1580 2990  22380 1090
1580 7100  12400 1080
1580 4080  12400 2990
9752 9410  9000 2790
10230 0  7165 2990
13030 8260  5540 1150
17395 0  6920 2990
13980 6860  5750 1400
13980 4080  9380 1380
18752 11190  5550 1010
13980 5460  5750 1400
18752 8450  5642 2740
19730 5560  580 2890
20310 5510  4062 2940
23360 4080  580 1390

numOfBlemishes: 0
