BatchNo, BoardNo, Color, UPI, X, Y, R, L, W, Area, Type, SubCode
Closet2,1,0,20588351057,0,0,0,2415.0,548.0,1.32342E8,0,0
Closet2,1,0,20588351148,0,6700,0,2415.0,550.0,1.32825E8,0,0
Closet2,1,0,20588351051,0,5480,0,212.0,68.0,1441600.0,0,0
Closet2,1,0,20588351016,0,6220,0,523.0,48.0,2510400.0,0,0
Closet2,1,0,20588351122,2120,5480,0,872.0,68.0,5929600.0,0,0
Closet2,1,0,20588351017,5230,6220,0,523.0,48.0,2510400.0,0,0
Closet2,1,0,20588351019,10460,6220,0,489.0,48.0,2347200.0,0,0
Closet2,1,0,20588351143,10840,5480,0,942.0,68.0,6405600.0,0,0
Closet2,1,0,20588351020,15350,6220,0,486.0,48.0,2332800.0,0,0
Closet2,1,0,20588351079,20260,5480,0,414.0,115.0,4761000.0,0,0
Closet2,2,0,20588351058,0,0,0,2415.0,548.0,1.32342E8,0,0
Closet2,2,0,20588351166,0,6720,0,2415.0,548.0,1.32342E8,0,0
Closet2,2,0,20588351082,0,5480,0,414.0,115.0,4761000.0,0,0
Closet2,2,0,20588351084,4140,5480,0,414.0,115.0,4761000.0,0,0
Closet2,2,0,20588351087,8280,5480,0,414.0,115.0,4761000.0,0,0
Closet2,2,0,20588351089,12420,5480,0,414.0,115.0,4761000.0,0,0
Closet2,2,0,20588351092,16560,5480,0,414.0,115.0,4761000.0,0,0
Closet2,2,0,20588351029,20700,5480,0,350.0,115.0,4025000.0,0,0
Closet2,3,0,20588351124,0,0,0,2415.0,536.0,1.29444E8,0,0
Closet2,3,0,20588351041,0,10840,0,398.0,136.0,5412800.0,0,0
Closet2,3,0,20588351167,0,5360,0,2415.0,548.0,1.32342E8,0,0
Closet2,3,0,20588351034,3980,11050,0,350.0,115.0,4025000.0,0,0
Closet2,3,0,20588351046,7480,10840,0,398.0,136.0,5412800.0,0,0
Closet2,3,0,20588351081,11460,10840,0,398.0,136.0,5412800.0,0,0
Closet2,3,0,20588351156,15440,11520,0,872.0,68.0,5929600.0,0,0
Closet2,3,0,20588351163,15440,10840,0,872.0,68.0,5929600.0,0,0
Closet2,4,0,20588351125,0,0,0,2415.0,536.0,1.29444E8,0,0
Closet2,4,0,20588351158,0,6840,0,2415.0,536.0,1.29444E8,0,0
Closet2,4,0,20588351086,0,5360,0,398.0,136.0,5412800.0,0,0
Closet2,4,0,20588351088,3980,5360,0,398.0,136.0,5412800.0,0,0
Closet2,4,0,20588351113,7960,5360,0,525.0,78.0,4095000.0,0,0
Closet2,4,0,20588351075,7960,6160,0,932.0,68.0,6337600.0,0,0
Closet2,4,0,20588351116,13210,5360,0,525.0,78.0,4095000.0,0,0
Closet2,4,0,20588351062,17280,6160,0,487.0,68.0,3311600.0,0,0
Closet2,4,0,20588351144,18460,5360,0,525.0,78.5,4121250.0,0,0
Closet2,5,0,20588351159,0,0,0,2415.0,536.0,1.29444E8,0,0
Closet2,5,0,20588351011,0,6720,0,1898.0,548.0,1.040104E8,0,0
Closet2,5,0,20588351091,0,5360,0,398.0,136.0,5412800.0,0,0
Closet2,5,0,20588351093,3980,5360,0,398.0,136.0,5412800.0,0,0
Closet2,5,0,20588351039,7960,5360,0,350.0,115.0,4025000.0,0,0
Closet2,5,0,20588351096,11460,5360,0,398.0,136.0,5412800.0,0,0
Closet2,5,0,20588351145,18980,7130,90,507.0,531.5,2.694705E7,0,0
Closet2,5,0,20588351098,15440,5360,0,398.0,136.0,5412800.0,0,0
Closet2,5,0,20588351067,19420,6260,0,440.0,87.0,3828000.0,0,0
Closet2,5,0,20588351070,19420,5360,0,440.0,87.0,3828000.0,0,0
Closet2,6,0,20588351032+20588351150+20588351038+20588351037,0,0,0,2415.0,960.0,2.3184E8,0,0
Closet2,6,0,20588351101,0,10840,0,398.0,136.0,5412800.0,0,0
Closet2,6,0,20588351044,0,9690,0,350.0,115.0,4025000.0,0,0
Closet2,6,0,20588351118,3980,11420,0,932.0,78.0,7269600.0,0,0
Closet2,6,0,20588351117,3980,10640,0,525.0,78.0,4095000.0,0,0
Closet2,6,0,20588351110,3500,9860,0,392.0,78.0,3057600.0,0,0
Closet2,6,0,20588351119,7420,9860,0,932.0,78.0,7269600.0,0,0
Closet2,6,0,20588351168,9230,10640,0,525.0,78.0,4095000.0,0,0
Closet2,6,0,20588351170,13300,11420,0,525.0,78.0,4095000.0,0,0
Closet2,6,0,20588351115,14480,10655,0,489.0,76.5,3740850.0,0,0
Closet2,6,0,20588351169,16740,9875,0,392.0,78.0,3057600.0,0,0
Closet2,6,0,20588351103,19370,10840,0,398.0,136.0,5412800.0,0,0
Closet2,6,0,20588351047,20660,9690,0,350.0,115.0,4025000.0,0,0
Closet2,7,0,20588351106,0,0,90,398.0,136.0,5412800.0,0,0
Closet2,7,0,20588351094,0,8060,90,414.0,115.0,4761000.0,0,0
Closet2,7,0,20588351151,1150,6700,0,1898.0,550.0,1.0439E8,0,0
Closet2,7,0,20588351012,1360,0,0,1898.0,548.0,1.040104E8,0,0
Closet2,7,0,20588351069,0,3980,90,398.0,108.0,4298400.0,0,0
Closet2,7,0,20588351097,1080,5480,0,414.0,115.0,4761000.0,0,0
Closet2,7,0,20588351099,5220,5480,0,414.0,115.0,4761000.0,0,0
Closet2,7,0,20588351102,9360,5480,0,414.0,115.0,4761000.0,0,0
Closet2,7,0,20588351104,13500,5480,0,414.0,115.0,4761000.0,0,0
Closet2,7,0,20588351107,20130,11050,0,414.0,115.0,4761000.0,0,0
Closet2,7,0,20588351007,20340,0,0,392.0,548.0,2.14816E7,0,0
Closet2,7,0,20588351052,20130,5850,0,212.0,520.0,1.1024E7,0,0
Closet2,7,0,20588351049,22250,5570,0,212.0,548.0,1.16176E7,0,0
Closet2,8,0,20588351176,0,0,0,1898.0,548.0,1.040104E8,0,0
Closet2,8,0,20588351077,0,5790,90,641.0,518.5,3.323585E7,0,0
Closet2,8,0,20588351177,5185,6720,0,1898.0,548.0,1.040104E8,0,0
Closet2,8,0,20588351053,18980,0,90,212.0,502.0,1.06424E7,0,0
Closet2,8,0,20588351054,18980,2120,90,212.0,502.0,1.06424E7,0,0
Closet2,8,0,20588351055,18980,4240,90,212.0,502.0,1.06424E7,0,0
Closet2,9,0,20588351165,0,0,0,872.0,520.0,4.5344E7,0,0
Closet2,9,0,20588351132,0,7330,90,487.0,530.0,2.5811E7,0,0
Closet2,9,0,20588351056,0,5210,90,212.0,502.0,1.06424E7,0,0
Closet2,9,0,20588351064,5300,6660,0,737.0,554.0,4.08298E7,0,0
Closet2,9,0,20588351172,8720,0,0,392.0,548.0,2.14816E7,0,0
Closet2,9,0,20588351135,12640,0,0,1169.0,568.0,6.63992E7,0,0
Closet2,9,0,20588351138,12670,6520,0,1169.0,568.0,6.63992E7,0,0
Closet2,10,0,20588351010,0,0,0,392.0,520.0,2.0384E7,0,0
Closet2,10,0,20588351065,0,6660,0,737.0,554.0,4.08298E7,0,0
Closet2,10,0,20588351128,3920,0,0,1169.0,558.0,6.52302E7,0,0
Closet2,10,0,20588351136,7370,6520,0,932.0,568.0,5.29376E7,0,0
Closet2,10,0,20588351161,15610,0,0,872.0,548.0,4.77856E7,0,0
Closet2,10,0,20588351108,16690,6720,0,737.0,548.0,4.03876E7,0,0
Closet2,11,0,20588351131,0,0,90,1169.0,558.0,6.52302E7,0,0
Closet2,11,0,20588351109,5580,0,90,737.0,548.0,4.03876E7,0,0
Closet2,11,0,20588351123,5580,7580,0,872.0,462.0,4.02864E7,0,0
Closet2,11,0,20588351073,11060,0,0,932.0,548.0,5.10736E7,0,0
Closet2,11,0,20588351129,14300,6620,0,487.0,558.0,2.71746E7,0,0
Closet2,11,0,20588351059,19170,6660,0,487.0,554.0,2.69798E7,0,0
Closet2,11,0,20588351175,20380,0,0,392.0,520.0,2.0384E7,0,0
Closet2,12,0,20588351028+20588351152+20588351033+20588351066+20588351111,0,0,0,941.5,1008.0,9.49032E7,0,0
Closet2,12,0,20588351013,9415,0,90,392.0,502.0,1.96784E7,0,0
Closet2,12,0,20588351014,9415,8280,90,392.0,502.0,1.96784E7,0,0
