BatchNo, BoardNo, Color, Specification, BoardArea, WorkPiecesQty, WorkPiecesArea, Ratio, OddArea
Closet3,1,0,24400*12200,2.9768E8,6,2.90221E8,97.49428916957808%,
Closet3,2,0,24400*12200,2.9768E8,6,2.9416425E8,98.81894987906476%,
Closet3,3,0,24400*12200,2.9768E8,12,2.899579E8,97.40590567051868%,
Closet3,4,0,24400*12200,2.9768E8,9,2.9490765E8,99.06868113410373%,
Closet3,5,0,24400*12200,2.9768E8,15,2.92451525E8,98.2435921123354%,
Closet3,6,0,24400*12200,2.9768E8,15,2.9617832E8,99.49553883364688%,
Closet3,7,0,24400*12200,2.9768E8,13,2.953518E8,99.21788497715667%,
Closet3,8,0,24400*12200,2.9768E8,20,2.948341E8,99.04397339424885%,
Closet3,9,0,24400*12200,2.9768E8,17,2.9292228E8,98.40173340499865%,
Closet3,10,0,24400*12200,2.9768E8,12,1.8126605E8,60.89292192958882%,
