BatchNo, BoardNo, Color, UPI, X, Y, R, L, W, Area, Type, SubCode
Mixed1,1,0,9335621154,0,0,0,942.0,527.0,4.96434E7,0,0
Mixed1,1,0,9333691152,0,8820,0,1958.0,338.0,6.61804E7,0,0
Mixed1,1,0,9333691096,0,5280,0,1172.0,354.0,4.14888E7,0,0
Mixed1,1,0,9335621250,9420,0,0,972.0,524.0,5.09328E7,0,0
Mixed1,1,0,9333691135,11720,5240,0,728.0,358.0,2.60624E7,0,0
Mixed1,1,0,9335621155,19140,0,90,826.0,526.0,4.34476E7,0,0
Mixed1,1,0,9333691230,19580,8820,0,413.0,338.0,1.39594E7,0,0
Mixed1,2,0,9333691109,0,0,0,872.0,88.0,7673600.0,0,0
Mixed1,2,0,9333691243,0,6620,0,910.0,558.0,5.0778E7,0,0
Mixed1,2,0,9333691104,0,880,0,728.0,558.0,4.06224E7,0,0
Mixed1,2,0,9335621237,7280,880,0,972.0,557.0,5.41404E7,0,0
Mixed1,2,0,9335621246,8720,0,0,972.0,88.0,8553600.0,0,0
Mixed1,2,0,9335621158,9100,6620,0,588.0,558.0,3.28104E7,0,0
Mixed1,2,0,9335621149,14980,6650,0,942.0,555.0,5.2281E7,0,0
Mixed1,2,0,9333691105,17000,880,0,728.0,558.0,4.06224E7,0,0
Mixed1,2,0,9333691027,18440,0,0,572.0,88.0,5033600.0,0,0
Mixed1,3,0,9333691136,0,0,0,728.0,358.0,2.60624E7,0,0
Mixed1,3,0,9335621251,0,6960,0,972.0,524.0,5.09328E7,0,0
Mixed1,3,0,9333691200,0,3580,0,808.0,338.0,2.73104E7,0,0
Mixed1,3,0,9333691201,7280,0,0,808.0,338.0,2.73104E7,0,0
Mixed1,3,0,9335621173,9720,6930,0,942.0,527.0,4.96434E7,0,0
Mixed1,3,0,9333691217,8080,3380,0,728.0,338.0,2.46064E7,0,0
Mixed1,3,0,9335621198,15360,0,90,588.0,890.0,5.2332E7,0,0
Mixed1,3,0,9333691007,19140,6480,90,572.0,507.0,2.90004E7,0,0
Mixed1,4,0,9333691199,0,0,0,910.0,337.0,3.0667E7,0,0
Mixed1,4,0,9333691004,0,6750,0,2148.0,545.0,1.17066E8,0,0
Mixed1,4,0,9333691207,0,3370,0,910.0,337.0,3.0667E7,0,0
Mixed1,4,0,9335621148,9100,0,0,942.0,557.0,5.24694E7,0,0
Mixed1,4,0,9333691154,9100,5670,0,872.0,108.0,9417600.0,0,0
Mixed1,4,0,9335621159,18520,0,90,588.0,558.0,3.28104E7,0,0
Mixed1,4,0,9333691130,21480,6730,90,547.0,254.0,1.38938E7,0,0
Mixed1,5,0,9335621232,0,0,0,942.0,527.0,4.96434E7,0,0
Mixed1,5,0,9333691153,0,8820,0,1958.0,338.0,6.61804E7,0,0
Mixed1,5,0,9333691167,0,5440,0,1958.0,338.0,6.61804E7,0,0
Mixed1,5,0,9335621252,9420,0,0,972.0,524.0,5.09328E7,0,0
Mixed1,5,0,9335621156,19140,0,90,466.0,525.0,2.4465E7,0,0
Mixed1,5,0,9335621203,19580,9920,0,472.0,228.0,1.07616E7,0,0
Mixed1,5,0,9335621157,19580,4670,0,466.0,525.0,2.4465E7,0,0
Mixed1,6,0,9333691112,0,0,0,728.0,558.0,4.06224E7,0,0
Mixed1,6,0,9333691008,0,6480,90,572.0,507.0,2.90004E7,0,0
Mixed1,6,0,9333691009,5070,6480,90,572.0,507.0,2.90004E7,0,0
Mixed1,6,0,9333691028,0,5580,0,572.0,88.0,5033600.0,0,0
Mixed1,6,0,9335621243,7280,0,0,972.0,557.0,5.41404E7,0,0
Mixed1,6,0,9333691016,10140,6620,90,558.0,545.0,3.0411E7,0,0
Mixed1,6,0,9333691110,5720,5580,0,872.0,88.0,7673600.0,0,0
Mixed1,6,0,9333691108,15590,6620,0,872.0,558.0,4.86576E7,0,0
Mixed1,6,0,9333691113,17000,0,0,728.0,558.0,4.06224E7,0,0
Mixed1,6,0,9335621153,14440,5580,0,942.0,98.0,9231600.0,0,0
Mixed1,7,0,9333691111,0,0,0,872.0,88.0,7673600.0,0,0
Mixed1,7,0,9335621146,0,6620,0,2208.0,558.0,1.232064E8,0,0
Mixed1,7,0,9335621147,0,880,0,2208.0,558.0,1.232064E8,0,0
Mixed1,7,0,9333691127,8720,0,0,622.0,88.0,5473600.0,0,0
Mixed1,7,0,9335621151,14940,0,0,942.0,88.0,8289600.0,0,0
Mixed1,7,0,9335621236,22080,2480,90,972.0,228.0,2.21616E7,0,0
Mixed1,8,0,9333691002,0,0,90,572.0,557.0,3.18604E7,0,0
Mixed1,8,0,9333691005,0,6630,0,572.0,557.0,3.18604E7,0,0
Mixed1,8,0,9333691013,5570,0,0,572.0,557.0,3.18604E7,0,0
Mixed1,8,0,9333691245,0,5750,0,910.0,88.0,8008000.0,0,0
Mixed1,8,0,9333691014,5720,6630,0,572.0,557.0,3.18604E7,0,0
Mixed1,8,0,9333691121,11290,0,0,728.0,558.0,4.06224E7,0,0
Mixed1,8,0,9335621132,11440,5890,90,631.0,337.0,2.12647E7,0,0
Mixed1,8,0,9335621172,14810,11220,0,942.0,98.0,9231600.0,0,0
Mixed1,8,0,9335621161,14810,5650,0,942.0,557.0,5.24694E7,0,0
Mixed1,8,0,9333691020,18570,0,0,572.0,557.0,3.18604E7,0,0
Mixed1,9,0,9333691103,0,0,90,772.0,527.5,4.0723E7,0,0
Mixed1,9,0,9333691248,0,7860,0,835.0,434.0,3.6239E7,0,0
Mixed1,9,0,9335621140,5275,0,0,1272.0,759.0,9.65448E7,0,0
Mixed1,9,0,9333691251,8350,7860,0,835.0,434.0,3.6239E7,0,0
Mixed1,9,0,9333691087,16700,8370,0,728.0,383.0,2.78824E7,0,0
Mixed1,9,0,9335621174,17995,0,90,826.0,526.0,4.34476E7,0,0
Mixed1,9,0,9333691101,23255,0,90,772.0,88.0,6793600.0,0,0
Mixed1,10,0,9333691229,0,0,0,910.0,337.0,3.0667E7,0,0
Mixed1,10,0,9335621165,0,6620,0,2208.0,558.0,1.232064E8,0,0
Mixed1,10,0,9333691204,0,3370,0,910.0,317.0,2.8847E7,0,0
Mixed1,10,0,9335621177,9100,0,0,588.0,558.0,3.28104E7,0,0
Mixed1,10,0,9333691157,9100,5580,0,1396.0,88.0,1.22848E7,0,0
Mixed1,10,0,9335621167,14980,0,0,942.0,557.0,5.24694E7,0,0
Mixed1,10,0,9333691129,22080,6850,90,535.0,207.0,1.10745E7,0,0
Mixed1,11,0,9333691174,0,0,0,872.0,88.0,7673600.0,0,0
Mixed1,11,0,9333691099,0,6620,0,772.0,558.0,4.30776E7,0,0
Mixed1,11,0,9333691021,0,880,90,572.0,557.0,3.18604E7,0,0
Mixed1,11,0,9333691172,5570,880,0,872.0,558.0,4.86576E7,0,0
Mixed1,11,0,9333691023,7720,6480,90,572.0,557.0,3.18604E7,0,0
Mixed1,11,0,9333691175,8720,0,0,872.0,88.0,7673600.0,0,0
Mixed1,11,0,9333691024,13290,6630,0,572.0,557.0,3.18604E7,0,0
Mixed1,11,0,9335621204,14290,880,0,472.0,557.0,2.62904E7,0,0
Mixed1,11,0,9333691176,19010,0,90,872.0,527.5,4.5998E7,0,0
Mixed1,11,0,9333691231,19010,8820,0,413.0,338.0,1.39594E7,0,0
Mixed1,12,0,9333691086,0,0,90,1172.0,382.0,4.47704E7,0,0
Mixed1,12,0,9333691122,3820,0,0,728.0,558.0,4.06224E7,0,0
Mixed1,12,0,9335621168,3820,6650,0,942.0,555.0,5.2281E7,0,0
Mixed1,12,0,9333691128,3820,5770,0,622.0,88.0,5473600.0,0,0
Mixed1,12,0,9335621180,11100,0,0,942.0,557.0,5.24694E7,0,0
