BatchNo, BoardNo, Color, Specification, BoardArea, WorkPiecesQty, WorkPiecesArea, Ratio, OddArea
Mixed2,1,0,24400*12200,2.9768E8,5,2.956856E8,99.33001881214727%,
Mixed2,2,0,24400*12200,2.9768E8,8,2.93096614E8,98.46029763504433%,
Mixed2,3,0,24400*12200,2.9768E8,9,2.9441796E8,98.90417898414404%,
Mixed2,4,0,24400*12200,2.9768E8,8,2.940836E8,98.79185702768072%,
Mixed2,5,0,24400*12200,2.9768E8,10,2.938893E8,98.7265855952701%,
Mixed2,6,0,24400*12200,2.9768E8,11,2.938462E8,98.71210696049448%,
Mixed2,7,0,24400*12200,2.9768E8,9,2.931072345E8,98.46386539236765%,
Mixed2,8,0,24400*12200,2.9768E8,7,2.964788E8,99.59647944101049%,
Mixed2,9,0,24400*12200,2.9768E8,13,2.955061635E8,99.269740493147%,
Mixed2,10,0,24400*12200,2.9768E8,9,2.939729345E8,98.75468103332437%,
Mixed2,11,0,24400*12200,2.9768E8,12,2.96581371E8,99.630936240258%,
Mixed2,12,0,24400*12200,2.9768E8,8,2.94463E8,98.91930932545016%,
Mixed2,13,0,24400*12200,2.9768E8,9,2.963146E8,99.54131953775867%,
Mixed2,14,0,24400*12200,2.9768E8,9,2.92707499E8,98.32958176565438%,
Mixed2,15,0,24400*12200,2.9768E8,8,2.949516E8,99.08344531040044%,
Mixed2,16,0,24400*12200,2.9768E8,9,2.927434E8,98.34164203171191%,
Mixed2,17,0,24400*12200,2.9768E8,9,2.944308635E8,98.90851367239989%,
Mixed2,18,0,24400*12200,2.9768E8,11,2.948438E8,99.04723192690138%,
Mixed2,19,0,24400*12200,2.9768E8,8,2.9496125E8,99.08668704649288%,
Mixed2,20,0,24400*12200,2.9768E8,11,2.954989E8,99.26730045686644%,
Mixed2,21,0,24400*12200,2.9768E8,12,2.955918E8,99.29850846546627%,
Mixed2,22,0,24400*12200,2.9768E8,11,2.949396E8,99.07941413598496%,
Mixed2,23,0,24400*12200,2.9768E8,10,2.9246075E8,98.24669107766728%,
Mixed2,24,0,24400*12200,2.9768E8,10,2.9386745E8,98.7192454985219%,
Mixed2,25,0,24400*12200,2.9768E8,12,2.95093221E8,99.13102022305831%,
Mixed2,26,0,24400*12200,2.9768E8,9,2.95779948E8,99.36171324912657%,
Mixed2,27,0,24400*12200,2.9768E8,9,2.95549E8,99.28413061005105%,
Mixed2,28,0,24400*12200,2.9768E8,13,2.947293E8,99.00876780435367%,
Mixed2,29,0,24400*12200,2.9768E8,13,2.95262E8,99.18771835528084%,
Mixed2,30,0,24400*12200,2.9768E8,15,2.94592499E8,98.962812080086%,
Mixed2,31,0,24400*12200,2.9768E8,12,2.948702E8,99.05610051061542%,
Mixed2,32,0,24400*12200,2.9768E8,13,2.953949E8,99.23236361193229%,
Mixed2,33,0,24400*12200,2.9768E8,14,2.94485E8,98.92669981187852%,
Mixed2,34,0,24400*12200,2.9768E8,15,2.934382E8,98.57504703036818%,
Mixed2,35,0,24400*12200,2.9768E8,12,2.9296205E8,98.41509338887396%,
Mixed2,36,0,24400*12200,2.9768E8,16,2.938013E8,98.69702364955657%,
Mixed2,37,0,24400*12200,2.9768E8,15,2.8940915E8,97.2215634238108%,
Mixed2,38,0,24400*12200,2.9768E8,18,2.8562565E8,95.95056772373017%,
Mixed2,39,0,24400*12200,2.9768E8,16,2.552089E8,85.7326323568933%,
