BatchNo, BoardNo, Color, UPI, X, Y, R, L, W, Area, Type, SubCode
Others1,1,0,066655109,0,0,90,572.0,68.0,3889600.0,0,0
Others1,1,0,066681138,0,6480,90,572.0,68.0,3889600.0,0,0
Others1,1,0,066622071,680,0,0,2208.0,595.0,1.31376E8,0,0
Others1,1,0,066623072,680,6250,0,2208.0,595.0,1.31376E8,0,0
Others1,1,0,066592036,22760,0,90,772.0,88.0,6793600.0,0,0
Others1,1,0,066578019,22760,7980,90,422.0,68.0,2869600.0,0,0
Others1,1,0,066577018,23440,7980,90,422.0,88.0,3713600.0,0,0
Others1,1,0,066593037,23640,0,90,772.0,68.0,5249600.0,0,0
Others1,2,0,066606054,0,0,0,758.0,358.0,2.71364E7,0,0
Others1,2,0,066601047,0,11320,0,640.0,88.0,5632000.0,0,0
Others1,2,0,066620069,0,10740,0,1468.0,58.0,8514400.0,0,0
Others1,2,0,066563003,0,4160,90,658.0,558.0,3.67164E7,0,0
Others1,2,0,066597043,0,3580,0,2208.0,58.0,1.28064E7,0,0
Others1,2,0,066618067,6400,11620,0,1798.0,58.0,1.04284E7,0,0
Others1,2,0,066645098,5580,4160,90,658.0,98.0,6448400.0,0,0
Others1,2,0,066611059,7580,0,0,758.0,358.0,2.71364E7,0,0
Others1,2,0,066564004,6560,4160,90,658.0,558.0,3.67164E7,0,0
Others1,2,0,066567007+066656110+066683140+066682139+066680137,12140,4280,90,646.0,1223.0,7.90058E7,0,0
Others1,2,0,066613061,15160,0,0,372.0,358.0,1.33176E7,0,0
Others1,2,0,066607055,14680,10770,0,358.0,85.0,3043000.0,0,0
Others1,2,0,066654108,18260,10740,0,572.0,88.0,5033600.0,0,0
Others1,2,0,066614062,18880,0,0,372.0,358.0,1.33176E7,0,0
Others1,2,0,066647100,22600,0,90,422.0,88.0,3713600.0,0,0
Others1,2,0,066675131,23480,0,90,422.0,88.0,3713600.0,0,0
Others1,3,0,066565005,0,0,0,372.0,558.0,2.07576E7,0,0
Others1,3,0,066600046+066646099+066674130,0,6183,0,887.0,601.7299,5.337344213000001E7,0,0
Others1,3,0,066590034,3720,0,0,772.0,558.0,4.30776E7,0,0
Others1,3,0,066650104,0,5580,0,470.0,58.0,2726000.0,0,0
Others1,3,0,066573014,8870,5620,90,658.0,558.0,3.67164E7,0,0
Others1,3,0,066610058,4700,5580,0,358.0,58.0,2076400.0,0,0
Others1,3,0,066575016,11440,0,0,422.0,558.0,2.35476E7,0,0
Others1,3,0,066644097,14450,5620,90,658.0,538.0,3.54004E7,0,0
Others1,3,0,066583025,15660,0,0,872.0,558.0,4.86576E7,0,0
Others1,3,0,066672128,19830,5620,90,658.0,98.0,6448400.0,0,0
Others1,3,0,066598044,20810,5620,90,658.0,358.0,2.35564E7,0,0
Others1,4,0,066652106,0,0,0,572.0,558.0,3.19176E7,0,0
Others1,4,0,066574015,0,5620,90,658.0,558.0,3.67164E7,0,0
Others1,4,0,066581023,5580,6620,0,658.0,558.0,3.67164E7,0,0
Others1,4,0,066637088,5720,0,0,987.0,595.0,5.87265E7,0,0
Others1,4,0,066562002,5580,6040,0,658.0,58.0,3816400.0,0,0
Others1,4,0,066631080,12160,6480,90,572.0,565.0,3.2318E7,0,0
Others1,4,0,066684141,15590,0,90,640.0,206.0,1.3184E7,0,0
Others1,4,0,066651105,17650,0,90,595.0,58.0,3451000.0,0,0
Others1,4,0,066582024,17810,6620,0,658.0,558.0,3.67164E7,0,0
Others1,4,0,066588032,18230,0,90,658.0,558.0,3.67164E7,0,0
Others1,4,0,066572013,23810,0,90,658.0,58.0,3816400.0,0,0
Others1,5,0,066635086,0,0,90,488.0,595.0,2.9036E7,0,0
Others1,5,0,066624073,0,6480,90,572.0,595.0,3.4034E7,0,0
Others1,5,0,066677134,0,4880,0,658.0,160.0,1.0528E7,0,0
Others1,5,0,066569009,5950,8480,90,372.0,526.0,1.95672E7,0,0
Others1,5,0,066639090,5950,0,90,452.0,987.0,4.46124E7,0,0
Others1,5,0,066660114,5950,6600,0,510.0,188.0,9588000.0,0,0
Others1,5,0,066661115,6580,4520,0,510.0,188.0,9588000.0,0,0
Others1,5,0,066589033,11210,6620,0,658.0,558.0,3.67164E7,0,0
Others1,5,0,066627076,15820,0,90,572.0,108.0,6177600.0,0,0
Others1,5,0,066658112,11680,4520,0,408.0,188.0,7670400.0,0,0
Others1,5,0,066657111,16900,0,0,658.0,558.0,3.67164E7,0,0
Others1,5,0,066673129,17790,6620,0,658.0,558.0,3.67164E7,0,0
Others1,5,0,066609057,15760,5740,0,740.0,88.0,6512000.0,0,0
Others1,5,0,066602048,23480,0,90,640.0,88.0,5632000.0,0,0
Others1,6,0,066632081,0,0,90,572.0,593.5,3.39482E7,0,0
Others1,6,0,066638089,0,6250,0,987.0,595.0,5.87265E7,0,0
Others1,6,0,066584026,5935,0,0,872.0,88.0,7673600.0,0,0
Others1,6,0,066659113,5935,880,0,408.0,188.0,7670400.0,0,0
Others1,6,0,066615063,5935,2760,0,372.0,336.5,1.25178E7,0,0
Others1,6,0,066612060,9870,4620,90,758.0,358.0,2.71364E7,0,0
Others1,6,0,066616064,10015,880,0,722.0,372.0,2.68584E7,0,0
Others1,6,0,066568008+066678135,13450,6620,90,558.0,658.0,3.67164E7,0,0
Others1,6,0,066585027,14655,0,0,872.0,88.0,7673600.0,0,0
Others1,6,0,066666121,13450,4600,0,510.0,188.0,9588000.0,0,0
Others1,6,0,066599045,17235,880,0,658.0,358.0,2.35564E7,0,0
Others1,6,0,066579020,20030,6940,0,422.0,526.0,2.21972E7,0,0
