Container length: 24400
Container width: 12200
Boxes Volume: 2.9300275E8
Container Volume: 297680000
Utilization: 98.42876578876646

Packed Boxes: 18
format: x y length width
0 0  6120 5960
0 8740  14280 3460
0 6860  6430 1880
0 5980  6300 880
6120 0  5550 4575
6430 5360  6120 3380
6120 4575  5160 780
11670 0  4850 4715
14280 7840  5035 4360
12550 5000  1480 3740
16520 0  4850 4715
14030 4720  3195 3120
19315 7840  5035 4360
21370 0  1480 4080
17225 4720  3195 3120
22850 0  1480 3740
20420 4720  1080 3120
21500 4080  2760 3380

numOfBlemishes: 0
