BatchNo, BoardNo, Color, Specification, BoardArea, WorkPiecesQty, WorkPiecesArea, Ratio, OddArea
Others3,1,0,24400*12200,2.9768E8,9,2.9452245E8,98.93928043536684%,
Others3,2,0,24400*12200,2.9768E8,9,2.920436E8,98.10655737704919%,
Others3,3,0,24400*12200,2.9768E8,10,2.934956E8,98.59432948132223%,
Others3,4,0,24400*12200,2.9768E8,10,2.944135E8,98.90268073098629%,
Others3,5,0,24400*12200,2.9768E8,12,2.92914422E8,98.39909365761892%,
Others3,6,0,24400*12200,2.9768E8,2,1.5870886E7,5.331525799516259%,
Others3,7,0,24400*12200,2.9768E8,6,2.942108E8,98.83458747648481%,
Others3,8,0,24400*12200,2.9768E8,11,2.9231375E8,98.19730919107766%,
Others3,9,0,24400*12200,2.9768E8,11,2.91910375E8,98.06180294275732%,
Others3,10,0,24400*12200,2.9768E8,12,2.9165835E8,97.97713988175222%,
Others3,11,0,24400*12200,2.9768E8,15,2.936325E8,98.64031846277881%,
Others3,12,0,24400*12200,2.9768E8,13,2.915179E8,97.92995834453104%,
Others3,13,0,24400*12200,2.9768E8,14,2.9166615E8,97.97976014512228%,
Others3,14,0,24400*12200,2.9768E8,11,2.903503E8,97.53772507390487%,
Others3,15,0,24400*12200,2.9768E8,11,2.929651E8,98.41611797903788%,
Others3,16,0,24400*12200,2.9768E8,15,2.92863325E8,98.38192858102661%,
Others3,17,0,24400*12200,2.9768E8,18,2.9300275E8,98.42876578876646%,
Others3,18,0,24400*12200,2.9768E8,11,2.929463E8,98.40980247245365%,
Others3,19,0,24400*12200,2.9768E8,13,2.923726E8,98.21707874227359%,
