BatchNo,BoardNo,Color,UPI,X,Y,R,L,W,Area,Type,SubCode
nfp_blocks,1,1,9815231210,0.0,0.0,0,1056.0,558.0,589248.00,NFP,
nfp_blocks,1,1,9815191177,0.0,567.0,0,1056.0,653.0,689568.00,NFP,
nfp_blocks,1,1,9810901004,1056.0,0.0,90,1040.0,726.0,755040.00,NFP,
nfp_blocks,1,1,9811061169,1056.0,732.0,90,658.0,488.0,321104.00,NFP,
nfp_blocks,1,1,9815111075,1714.0,732.0,0,725.0,488.0,353800.00,NFP,
nfp_blocks,1,1,9815111060,2096.0,0.0,90,342.0,726.0,248292.00,NFP,
nfp_blocks,2,1,9815231194,0.0,0.0,0,1057.0,570.0,602490.00,NFP,
nfp_blocks,2,1,9811061264,0.0,585.0,0,1057.0,635.0,671195.00,NFP,
nfp_blocks,2,1,9815111037,1057.0,0.0,90,1040.0,726.0,755040.00,NFP,
nfp_blocks,2,1,9810901106,1057.0,732.0,0,725.0,488.0,353800.00,NFP,
nfp_blocks,2,1,9815231144,1782.0,732.0,90,658.0,488.0,321104.00,NFP,
nfp_blocks,2,1,9810901027,2097.0,0.0,90,342.0,726.0,248292.00,NFP,
nfp_blocks,3,1,9815191013,0.0,0.0,0,776.0,583.0,452408.00,NFP,
nfp_blocks,3,1,9811061194,0.0,598.0,0,1216.0,622.0,756352.00,NFP,
nfp_blocks,3,1,9815111017,776.0,0.0,0,1658.0,588.0,974904.00,NFP,
nfp_blocks,3,1,9811061195,1216.0,598.0,0,1216.0,622.0,756352.00,NFP,
nfp_blocks,4,1,9815231226,0.0,0.0,90,388.0,878.0,340664.00,NFP,
nfp_blocks,4,1,9811061320,0.0,885.0,90,939.0,335.0,314565.00,NFP,
nfp_blocks,4,1,9810901095,388.0,0.0,0,1658.0,588.0,974904.00,NFP,
nfp_blocks,4,1,9810901020,388.0,787.0,0,847.0,98.0,83006.00,NFP,
nfp_blocks,4,1,9815111041,388.0,689.0,0,847.0,98.0,83006.00,NFP,
nfp_blocks,4,1,9810901008,388.0,591.0,0,847.0,98.0,83006.00,NFP,
nfp_blocks,4,1,9815231333,939.0,885.0,90,1039.0,335.0,348065.00,NFP,
nfp_blocks,4,1,9815111047,1235.0,787.0,0,847.0,98.0,83006.00,NFP,
