BatchNo,BoardNo,Color,UPI,X,Y,R,L,W,Area,Type,SubCode
nfp_blocks,1,0,23625251072,0.0,0.0,90,96.0,348.8,33484.80,NFP,
nfp_blocks,1,0,23625251025+23625251095+23625251109+23625251026+23625251032,0.0,761.0,0,775.0,459.0,355725.00,NFP,
nfp_blocks,1,0,23625251182,96.0,0.0,0,1240.0,108.0,133920.00,NFP,
nfp_blocks,1,0,23625251041,96.0,108.0,0,159.0,605.0,96195.00,NFP,
nfp_blocks,1,0,23625251078,0.0,348.8,90,96.0,348.8,33484.80,NFP,
nfp_blocks,1,0,23625251169,255.0,108.0,0,817.2,294.0,240256.80,NFP,
nfp_blocks,1,0,23625251155,255.0,402.0,0,817.2,294.0,240256.80,NFP,
nfp_blocks,1,0,23625251196,775.0,926.0,0,817.2,294.0,240256.80,NFP,
nfp_blocks,1,0,23625251127,775.0,796.0,0,450.0,130.0,58500.00,NFP,
nfp_blocks,1,0,23625251198,1072.2,108.0,0,817.2,294.0,240256.80,NFP,
nfp_blocks,1,0,23625251079,775.0,700.0,0,348.8,96.0,33484.80,NFP,
nfp_blocks,1,0,23625251120,1336.0,0.0,90,514.0,108.0,55512.00,NFP,
nfp_blocks,1,0,23625251156,1072.2,402.0,0,817.2,294.0,240256.80,NFP,
nfp_blocks,1,0,23625251038,1225.0,818.0,0,1145.0,108.0,123660.00,NFP,
nfp_blocks,1,0,23625251071,1123.8,700.0,0,348.8,96.0,33484.80,NFP,
nfp_blocks,1,0,23625251170,1592.2,926.0,0,817.2,294.0,240256.80,NFP,
nfp_blocks,1,0,23625251091,1850.0,0.0,90,514.0,108.0,55512.00,NFP,
nfp_blocks,1,0,23625251122,1472.6,710.0,90,514.0,108.0,55512.00,NFP,
nfp_blocks,1,0,23625251023,1889.4,108.0,90,274.0,564.2,154590.80,NFP,
nfp_blocks,1,0,23625251010,2163.4,108.0,90,274.0,564.2,154590.80,NFP,
nfp_blocks,1,0,23625251126,1986.6,688.0,0,450.0,130.0,58500.00,NFP,
nfp_blocks,2,0,23625251051,0.0,0.0,0,337.8,96.0,32428.80,NFP,
nfp_blocks,2,0,23625251096,0.0,1090.0,0,450.0,130.0,58500.00,NFP,
nfp_blocks,2,0,23625251007,0.0,96.0,0,564.2,274.0,154590.80,NFP,
nfp_blocks,2,0,23625251183,0.0,981.0,0,2238.0,109.0,243942.00,NFP,
nfp_blocks,2,0,23625251153,0.0,687.0,0,406.2,294.0,119422.80,NFP,
nfp_blocks,2,0,23625251057,337.8,0.0,0,337.8,96.0,32428.80,NFP,
nfp_blocks,2,0,23625251009,0.0,370.0,0,564.2,274.0,154590.80,NFP,
nfp_blocks,2,0,23625251034,450.0,1112.0,0,1145.0,108.0,123660.00,NFP,
nfp_blocks,2,0,23625251199,406.2,687.0,0,406.2,294.0,119422.80,NFP,
nfp_blocks,2,0,23625251103,564.2,96.0,90,114.0,450.0,51300.00,NFP,
nfp_blocks,2,0,23625251064,675.6,0.0,0,337.8,96.0,32428.80,NFP,
nfp_blocks,2,0,23625251172,678.2,96.0,0,406.2,294.0,119422.80,NFP,
nfp_blocks,2,0,23625251065,1013.4,0.0,0,337.8,96.0,32428.80,NFP,
nfp_blocks,2,0,23625251024,812.4,707.0,0,564.2,274.0,154590.80,NFP,
nfp_blocks,2,0,23625251050,678.2,390.0,0,337.8,96.0,32428.80,NFP,
nfp_blocks,2,0,23625251133,564.2,573.0,0,450.0,114.0,51300.00,NFP,
nfp_blocks,2,0,23625251089,1084.4,96.0,0,108.0,514.0,55512.00,NFP,
nfp_blocks,2,0,23625251140,1192.4,96.0,90,110.0,450.0,49500.00,NFP,
nfp_blocks,2,0,23625251197,1351.2,0.0,0,406.2,294.0,119422.80,NFP,
nfp_blocks,2,0,23625251058,1014.2,611.0,0,337.8,96.0,32428.80,NFP,
nfp_blocks,2,0,23625251134,1595.0,1106.0,0,450.0,114.0,51300.00,NFP,
nfp_blocks,2,0,23625251171,1302.4,294.0,0,406.2,294.0,119422.80,NFP,
nfp_blocks,2,0,23625251008,1376.6,707.0,0,564.2,274.0,154590.80,NFP,
nfp_blocks,2,0,23625251141,1757.4,0.0,0,450.0,110.0,49500.00,NFP,
nfp_blocks,2,0,23625251102,1352.0,593.0,0,450.0,114.0,51300.00,NFP,
nfp_blocks,2,0,23625251154,1757.4,110.0,0,406.2,294.0,119422.80,NFP,
nfp_blocks,2,0,23625251110,1708.6,404.0,0,450.0,110.0,49500.00,NFP,
