BatchNo,BoardNo,Color,UPI,X,Y,R,L,W,Area,Type,SubCode
nfp_blocks,1,0,000193029,0.0,0.0,0,230.0,965.0,221950.00,NFP,
nfp_blocks,1,0,000188144,0.0,1152.0,0,2428.0,68.0,165104.00,NFP,
nfp_blocks,1,0,000188073,0.0,984.0,0,1943.0,168.0,326424.00,NFP,
nfp_blocks,1,0,000188051,230.0,0.0,0,2208.0,308.0,680064.00,NFP,
nfp_blocks,1,0,000184054,230.0,896.0,0,1922.0,88.0,169136.00,NFP,
nfp_blocks,1,0,000184084,230.0,308.0,0,1922.0,588.0,1130136.00,NFP,
nfp_blocks,1,0,000184045,1943.0,992.0,0,490.0,160.0,78400.00,NFP,
nfp_blocks,1,0,000188128,2152.0,864.0,0,278.0,128.0,35584.00,NFP,
nfp_blocks,1,0,000189013,2152.0,308.0,90,285.5,422.0,120481.00,NFP,
nfp_blocks,1,0,000188133,2152.0,736.0,0,278.0,128.0,35584.00,NFP,
nfp_blocks,2,0,000184050,0.0,0.0,0,1973.0,608.0,1199584.00,NFP,
nfp_blocks,2,0,000187022,0.0,612.0,0,1993.0,608.0,1211744.00,NFP,
nfp_blocks,2,0,000194022,1973.0,0.0,90,88.0,469.0,41272.00,NFP,
nfp_blocks,2,0,000193072,1993.0,848.0,90,58.0,372.0,21576.00,NFP,
nfp_blocks,2,0,000184002,2051.0,480.0,0,388.0,740.0,287120.00,NFP,
nfp_blocks,2,0,000192025,2061.0,0.0,90,307.5,391.0,120232.50,NFP,
nfp_blocks,2,0,000193073,1993.0,476.0,90,58.0,372.0,21576.00,NFP,
nfp_blocks,2,0,000193076,2368.5,0.0,90,68.0,390.0,26520.00,NFP,
nfp_blocks,2,0,000188033,2061.0,391.0,0,372.0,88.0,32736.00,NFP,
nfp_blocks,3,0,000194021,0.0,0.0,0,469.0,88.0,41272.00,NFP,
nfp_blocks,3,0,000194006,0.0,662.0,0,528.0,558.0,294624.00,NFP,
nfp_blocks,3,0,000184081,0.0,88.0,90,185.0,485.0,89725.00,NFP,
nfp_blocks,3,0,000192036,185.0,88.0,90,308.5,368.9,113817.99,NFP,
nfp_blocks,3,0,000192007,469.0,0.0,0,1152.0,88.0,101376.00,NFP,
nfp_blocks,3,0,000184015+000188020+000188049+000187068,528.0,624.0,0,1810.0,596.0,1078760.00,NFP,
nfp_blocks,3,0,000194083,0.0,574.0,0,483.0,88.0,42504.00,NFP,
nfp_blocks,3,0,000188070,493.5,88.0,0,1943.0,428.0,831604.00,NFP,
nfp_blocks,3,0,000192037,185.0,456.9,90,308.5,116.3,35881.64,NFP,
nfp_blocks,3,0,000188145,493.5,516.0,0,1512.0,108.0,163296.00,NFP,
nfp_blocks,3,0,000184055,1621.0,0.0,0,539.0,88.0,47432.00,NFP,
nfp_blocks,3,0,000192003,2160.0,0.0,0,269.0,88.0,23672.00,NFP,
nfp_blocks,3,0,000188068,2338.0,525.0,90,88.0,695.0,61160.00,NFP,
nfp_blocks,3,0,000187019,2005.5,516.0,0,332.0,108.0,35856.00,NFP,
nfp_blocks,4,0,000188055,0.0,0.0,0,659.0,88.0,57992.00,NFP,
nfp_blocks,4,0,000187067,0.0,1112.0,0,458.0,108.0,49464.00,NFP,
nfp_blocks,4,0,000192027,0.0,88.0,90,308.5,404.9,124923.99,NFP,
nfp_blocks,4,0,000192031,0.0,803.5,0,152.3,308.5,46987.64,NFP,
nfp_blocks,4,0,000187064,152.3,1054.0,0,2253.0,58.0,130674.00,NFP,
nfp_blocks,4,0,000184092,152.3,496.0,0,2278.0,558.0,1271124.00,NFP,
nfp_blocks,4,0,000188088,308.5,88.0,0,1758.0,408.0,717264.00,NFP,
nfp_blocks,4,0,000192026,0.0,495.0,0,152.3,308.5,46987.64,NFP,
nfp_blocks,4,0,000184110,458.0,1112.0,0,1973.0,108.0,213084.00,NFP,
nfp_blocks,4,0,000193032,659.0,0.0,0,419.0,88.0,36872.00,NFP,
nfp_blocks,4,0,000193034,1078.0,0.0,0,419.0,88.0,36872.00,NFP,
nfp_blocks,4,0,000184096,1497.0,0.0,0,572.0,88.0,50336.00,NFP,
nfp_blocks,4,0,000194082,2069.0,0.0,90,58.0,483.0,28014.00,NFP,
nfp_blocks,4,0,000192035,2127.0,0.0,90,308.5,495.2,152787.71,NFP,
nfp_blocks,5,0,000193001,0.0,0.0,90,390.0,1040.0,405600.00,NFP,
nfp_blocks,5,0,000184106,0.0,1112.0,0,1973.0,108.0,213084.00,NFP,
nfp_blocks,5,0,000192038,0.0,1044.0,0,2418.0,68.0,164424.00,NFP,
nfp_blocks,5,0,000188030,390.0,0.0,0,733.0,588.0,431004.00,NFP,
nfp_blocks,5,0,000184020,390.0,676.0,0,1768.0,368.0,650624.00,NFP,
nfp_blocks,5,0,000192043,390.0,588.0,0,1188.0,88.0,104544.00,NFP,
nfp_blocks,5,0,000187055,1123.0,0.0,0,458.0,588.0,269304.00,NFP,
nfp_blocks,5,0,000189009,1581.0,0.0,0,858.0,308.0,264264.00,NFP,
nfp_blocks,5,0,000184048,1581.0,308.0,0,848.0,58.0,49184.00,NFP,
nfp_blocks,5,0,000189015,1581.0,366.0,0,858.0,308.0,264264.00,NFP,
nfp_blocks,5,0,000187071,1973.0,1112.0,0,458.0,108.0,49464.00,NFP,
nfp_blocks,5,0,000188138,2158.0,706.0,90,218.0,338.0,73684.00,NFP,
nfp_blocks,5,0,000187020,2376.0,676.0,90,58.0,368.0,21344.00,NFP,
nfp_blocks,6,0,000193068,0.0,0.0,0,1558.0,58.0,90364.00,NFP,
nfp_blocks,6,0,000188012,0.0,632.0,0,846.0,588.0,497448.00,NFP,
nfp_blocks,6,0,000193033,0.0,58.0,0,419.0,88.0,36872.00,NFP,
nfp_blocks,6,0,000193027,0.0,146.0,90,155.0,430.0,66650.00,NFP,
nfp_blocks,6,0,000188072,155.0,146.0,0,1342.0,88.0,118096.00,NFP,
nfp_blocks,6,0,000193002,155.0,234.0,0,2218.0,390.0,865020.00,NFP,
nfp_blocks,6,0,000184116,419.0,58.0,0,1958.0,88.0,172304.00,NFP,
nfp_blocks,6,0,000184031,846.0,682.0,0,740.0,538.0,398120.00,NFP,
nfp_blocks,6,0,000184113,846.0,624.0,0,508.0,58.0,29464.00,NFP,
nfp_blocks,6,0,000188148,1558.0,0.0,0,882.0,58.0,51156.00,NFP,
nfp_blocks,6,0,000194002,1586.0,682.0,0,740.0,538.0,398120.00,NFP,
nfp_blocks,6,0,000188089,1497.0,146.0,0,882.0,88.0,77616.00,NFP,
nfp_blocks,6,0,000184109,1354.0,624.0,0,508.0,58.0,29464.00,NFP,
nfp_blocks,6,0,000184117,2326.0,684.0,90,108.0,536.0,57888.00,NFP,
nfp_blocks,6,0,000184118,1862.0,624.0,0,572.0,58.0,33176.00,NFP,
nfp_blocks,6,0,000188154,2379.0,58.0,90,58.0,508.0,29464.00,NFP,
nfp_blocks,7,0,000193075,0.0,0.0,0,1772.0,68.0,120496.00,NFP,
