BatchNo,BoardNo,Color,UPI,X,Y,R,L,W,Area,Type,SubCode
nfp_blocks,1,0,001727045,0.0,0.0,0,209.2,460.0,96255.00,NFP,
nfp_blocks,1,0,001688006,0.0,1002.0,0,2258.0,218.0,492244.00,NFP,
nfp_blocks,1,0,001484020,209.2,0.0,0,2005.0,457.5,917287.50,NFP,
nfp_blocks,1,0,001717035,0.0,464.0,0,2258.0,538.0,1214804.00,NFP,
nfp_blocks,1,0,001508044,2214.2,0.0,90,225.6,458.0,103356.86,NFP,
nfp_blocks,1,0,000816028,2258.0,590.0,90,88.0,630.0,55440.00,NFP,
nfp_blocks,1,0,000818030,2346.0,590.0,90,88.0,630.0,55440.00,NFP,
nfp_blocks,1,0,001773091,2258.0,458.0,0,165.0,125.0,20625.00,NFP,
nfp_blocks,2,0,001730048,0.0,0.0,0,209.2,460.0,96255.00,NFP,
nfp_blocks,2,0,004384083,0.0,462.5,90,320.0,757.5,242400.00,NFP,
nfp_blocks,2,0,001506042,209.2,0.0,90,225.6,458.0,103356.86,NFP,
nfp_blocks,2,0,002032065,320.0,995.0,0,655.5,225.0,147487.50,NFP,
nfp_blocks,2,0,001487023,434.8,0.0,0,2005.0,457.5,917287.50,NFP,
nfp_blocks,2,0,001799117,320.0,917.0,0,679.0,78.0,52962.00,NFP,
nfp_blocks,2,0,001485021,320.0,459.5,0,508.0,457.5,232410.00,NFP,
nfp_blocks,2,0,001803121,975.5,1002.0,0,924.0,218.0,201432.00,NFP,
nfp_blocks,2,0,001507043,828.0,459.0,90,225.6,458.0,103356.86,NFP,
nfp_blocks,2,0,001867012,999.0,924.0,0,913.0,78.0,71214.00,NFP,
nfp_blocks,2,0,001726044,1053.6,464.0,0,1297.5,460.0,596850.00,NFP,
nfp_blocks,2,0,000810022,1899.5,1008.0,90,218.0,212.0,46216.00,NFP,
nfp_blocks,2,0,001806124,2117.5,1020.5,0,318.0,199.5,63441.00,NFP,
nfp_blocks,2,0,001886031,1912.0,930.0,90,516.0,78.0,40248.00,NFP,
nfp_blocks,2,0,000822034,2351.1,700.0,90,88.0,230.0,20240.00,NFP,
nfp_blocks,2,0,000820032,2351.1,457.5,90,88.0,230.0,20240.00,NFP,
nfp_blocks,3,0,001691009,0.0,0.0,0,643.0,78.0,50154.00,NFP,
nfp_blocks,3,0,001821139,0.0,1142.0,0,1090.0,78.0,85020.00,NFP,
nfp_blocks,3,0,001883028,0.0,78.0,0,1775.0,471.5,836912.50,NFP,
nfp_blocks,3,0,001862007,0.0,554.0,0,2328.0,588.0,1368864.00,NFP,
nfp_blocks,3,0,001784102,643.0,0.0,0,312.0,78.0,24336.00,NFP,
nfp_blocks,3,0,001801119,955.0,0.0,0,1450.0,78.0,113100.00,NFP,
nfp_blocks,3,0,001720038,1090.0,1142.0,0,882.0,78.0,68796.00,NFP,
nfp_blocks,3,0,001529065,1775.0,78.0,0,555.0,457.5,253912.50,NFP,
nfp_blocks,3,0,001863008,1972.0,1142.0,0,447.0,78.0,34866.00,NFP,
nfp_blocks,3,0,001771089,2328.0,734.0,90,108.0,408.0,44064.00,NFP,
nfp_blocks,3,0,000798010,2330.0,78.0,90,98.0,612.0,59976.00,NFP,
nfp_blocks,4,0,000781029,0.0,0.0,0,276.0,338.0,93288.00,NFP,
nfp_blocks,4,0,002012045,0.0,854.5,0,1155.0,365.5,422152.50,NFP,
nfp_blocks,4,0,001488024,276.0,0.0,0,2005.0,457.5,917287.50,NFP,
nfp_blocks,4,0,000776024,0.0,338.0,0,276.0,338.0,93288.00,NFP,
nfp_blocks,4,0,001797115,0.0,766.5,0,2318.0,88.0,203984.00,NFP,
nfp_blocks,4,0,000788036,0.0,678.5,0,870.0,88.0,76560.00,NFP,
nfp_blocks,4,0,000808020,276.0,457.5,0,1499.0,218.0,326782.00,NFP,
nfp_blocks,4,0,002011044,1155.0,854.5,0,1155.0,365.5,422152.50,NFP,
nfp_blocks,4,0,000786034,870.0,678.5,0,870.0,88.0,76560.00,NFP,
nfp_blocks,4,0,002022055,1775.0,461.5,0,631.0,305.0,192455.00,NFP,
nfp_blocks,4,0,001749067,2281.0,0.0,90,148.0,408.0,60384.00,NFP,
nfp_blocks,4,0,001766084,2318.0,812.0,90,108.0,408.0,44064.00,NFP,
nfp_blocks,5,0,001460050,0.0,0.0,0,554.0,394.7,218691.50,NFP,
nfp_blocks,5,0,002013046,0.0,855.0,0,1155.0,365.0,421575.00,NFP,
nfp_blocks,5,0,001725043,0.0,395.0,0,1297.5,460.0,596850.00,NFP,
nfp_blocks,5,0,004338037,554.0,0.0,0,660.5,155.5,102707.75,NFP,
nfp_blocks,5,0,002033066,554.0,155.5,0,655.5,225.0,147487.50,NFP,
nfp_blocks,5,0,004339038,1155.0,1064.5,0,660.5,155.5,102707.75,NFP,
nfp_blocks,5,0,000774022,1214.5,0.0,0,871.0,338.0,294398.00,NFP,
nfp_blocks,5,0,001695013,1155.0,876.5,0,643.0,188.0,120884.00,NFP,
nfp_blocks,5,0,001781099,1297.5,338.0,0,783.0,538.0,421254.00,NFP,
nfp_blocks,5,0,000792004,1815.5,882.0,0,612.0,338.0,206856.00,NFP,
nfp_blocks,5,0,000790002,2085.5,0.0,90,338.0,871.0,294398.00,NFP,
nfp_blocks,6,0,001461051,0.0,0.0,0,554.0,394.7,218691.50,NFP,
nfp_blocks,6,0,004407106,0.0,737.0,0,663.0,483.0,320229.00,NFP,
nfp_blocks,6,0,000764012,0.0,394.7,0,842.0,338.0,284596.00,NFP,
nfp_blocks,6,0,001463053,554.0,0.0,0,554.0,394.7,218691.50,NFP,
nfp_blocks,6,0,001882027,663.0,748.5,0,1775.0,471.5,836912.50,NFP,
nfp_blocks,6,0,001462052,1108.0,0.0,90,394.7,554.0,218691.50,NFP,
nfp_blocks,6,0,000812024,842.0,394.7,90,199.5,212.0,42294.00,NFP,
nfp_blocks,6,0,001761079,842.0,616.5,90,479.5,132.0,63294.00,NFP,
nfp_blocks,6,0,001530066,1502.7,0.0,90,457.5,555.0,253912.50,NFP,
nfp_blocks,6,0,001693011,1321.5,560.5,0,643.0,188.0,120884.00,NFP,
nfp_blocks,6,0,001790108,1960.2,0.0,0,312.0,319.5,99684.00,NFP,
nfp_blocks,6,0,004371070,2272.2,0.0,90,154.0,701.5,108031.00,NFP,
nfp_blocks,6,0,001739057,1964.5,319.5,90,148.0,408.0,60384.00,NFP,
nfp_blocks,6,0,001734052,2112.5,319.5,90,148.0,408.0,60384.00,NFP,
nfp_blocks,7,0,001539075,0.0,0.0,0,555.0,457.5,253912.50,NFP,
nfp_blocks,7,0,001787105,0.0,882.0,0,1458.0,338.0,492804.00,NFP,
