Container length: 24400
Container width: 12200
Boxes Volume: 2.886857E8
Container Volume: 297680000
Utilization: 96.97853399623757

Packed Boxes: 22
format: x y length width
0 0  5260 4220
18820 0  5580 3720
20680 8620  3720 3580
0 5620  980 6580
980 4480  680 7720
1660 11620  14680 580
1660 5670  9870 5950
17820 8040  6580 580
16820 3720  7580 3580
16960 8620  3720 3580
18680 7360  5720 680
5260 0  5950 4880
11240 0  7580 3580
1660 4220  3580 850
1660 5070  5950 580
16380 8620  580 3580
15800 5040  580 6580
12220 5040  3580 6580
12600 3580  4220 880
12120 4460  4700 580
11530 5900  680 5720
7610 4880  4220 680

numOfBlemishes: 0
