Container length: 24400
Container width: 12200
Boxes Volume: 2.924676E8
Container Volume: 297680000
Utilization: 98.24899220639612

Packed Boxes: 37
format: x y length width
0 0  7110 5355
16590 0  7810 3875
120 11420  24280 780
19450 8450  4950 2970
0 8450  4550 2970
15680 7470  8720 980
0 6170  3580 2280
16080 3875  8320 980
18810 6540  5590 930
20820 4855  3580 1080
4550 10340  3580 1080
15870 10340  3580 1080
4550 9260  3580 1080
15730 9460  3720 880
0 5355  4970 580
14680 5960  9720 580
7110 0  4180 2820
3580 5950  880 2500
4550 5980  6920 3280
15460 8480  3990 980
11870 0  4720 930
19640 4855  1180 1080
11930 930  4660 2820
8130 10540  4800 880
13370 10540  2500 880
10060 4855  9580 1080
8130 9280  7280 1260
7110 2820  4190 1910
15510 6590  3300 880
4970 5355  4970 580
7110 4730  2900 580
11560 8400  3900 880
12000 3750  4080 1080
11300 930  580 3900
11780 7520  3900 880
11610 6590  3900 930
11780 6010  2900 580

numOfBlemishes: 0
