BatchNo, BoardNo, Color, UPI, X, Y, R, L, W, Area, Type, SubCode
Closet3,1,1,30120411092,0,0,90,719.0,118.0,8484200.0,0,0
Closet3,1,1,30120411083,8680,0,0,1572.0,326.5,5.13258E7,0,0
Closet3,1,1,30120411048,1320,8920,0,2308.0,328.0,7.57024E7,0,0
Closet3,1,1,30120411137,0,7200,90,500.0,113.0,5650000.0,0,0
Closet3,1,1,30120411534+30120411552,1180,0,90,762.0,367.0,2.79654E7,0,0
Closet3,1,1,30120411059,18996,3265,0,540.4,470.0,2.53988E7,0,0
Closet3,1,1,30120411165,8320,7990,0,1608.0,93.0,1.49544E7,0,0
Closet3,1,1,30120411093,1130,7740,0,719.0,118.0,8484200.0,0,0
Closet3,1,1,30120411535+30120411553,4850,0,90,762.0,367.0,2.79654E7,0,0
Closet3,1,1,30120411063,13592,3265,0,540.4,470.0,2.53988E7,0,0
Closet3,1,1,30120411154,8520,3265,0,500.0,100.0,5000000.0,0,0
Closet3,1,1,30120411142,8520,4320,90,367.0,496.0,1.82032E7,0,0
Closet3,2,1,30120411120,0,0,0,1572.0,326.5,5.13258E7,0,0
Closet3,2,1,30120411545,1120,11420,0,2328.0,78.0,1.81584E7,0,0
Closet3,2,1,30120411533,17185,0,0,721.5,484.0,3.49206E7,0,0
Closet3,2,1,30120411052,0,3480,90,872.0,88.0,7673600.0,0,0
Closet3,2,1,30120411078,8680,10540,0,1572.0,88.0,1.38336E7,0,0
Closet3,2,1,30120411079,8680,9660,0,1572.0,88.0,1.38336E7,0,0
Closet3,2,1,30120411098,880,10240,0,719.0,118.0,8484200.0,0,0
Closet3,2,1,30120411529,1120,9180,0,2328.0,48.0,1.11744E7,0,0
Closet3,2,1,30120411546,1120,8700,0,2328.0,48.0,1.11744E7,0,0
Closet3,2,1,30120411099,17210,7520,0,719.0,118.0,8484200.0,0,0
Closet3,2,1,30120411053,880,3265,0,872.0,88.0,7673600.0,0,0
Closet3,2,1,30120411138,880,7570,0,500.0,113.0,5650000.0,0,0
Closet3,2,1,30120411161,18600,6590,0,580.0,93.0,5394000.0,0,0
Closet3,2,1,30120411135,20320,4840,0,408.0,113.0,4610400.0,0,0
Closet3,2,1,30120411136,880,4145,0,408.0,113.0,4610400.0,0,0
Closet3,2,1,30120411152,880,6570,0,408.0,100.0,4080000.0,0,0
Closet3,2,1,30120411090,880,5275,0,258.0,118.0,3044400.0,0,0
Closet3,2,1,30120411091,16005,0,90,258.0,118.0,3044400.0,0,0
Closet3,2,1,30120411554,3460,5275,0,314.0,91.0,2857400.0,0,0
Closet3,2,1,30120411555,17180,4840,0,314.0,91.0,2857400.0,0,0
Closet3,2,1,30120411560,4960,4145,0,314.0,91.0,2857400.0,0,0
Closet3,2,1,30120411558,5880,7790,0,258.0,91.0,2347800.0,0,0
Closet3,2,1,30120411054,4960,6690,0,260.0,88.0,2288000.0,0,0
Closet3,2,1,30120411080,16300,2580,90,260.0,88.0,2288000.0,0,0
Closet3,2,0,30120411162,11600,5810,0,872.0,78.0,6801600.0,0,0
Closet3,2,0,30120411064,13196,6640,0,540.4,88.0,4755520.0,0,0
Closet3,2,0,30120411574,8790,7920,0,842.0,78.0,6567600.0,0,0
Closet3,2,0,30120411068,10896,3265,0,540.4,88.0,4755520.0,0,0
Closet3,2,0,30120411557,6600,5055,90,155.0,400.0,6200000.0,0,0
Closet3,2,0,30120411065,7560,6910,0,540.3,88.0,4754640.0,0,0
Closet3,2,0,30120411126,12630,4145,90,75.0,367.0,2752500.0,0,0
Closet3,2,0,30120411150,8100,4145,90,75.0,367.0,2752500.0,0,0
Closet3,2,0,30120411069,10896,4895,0,540.4,88.0,4755520.0,0,0
Closet3,3,1,30120411050,0,0,90,872.0,326.0,2.84272E7,0,0
Closet3,3,1,30120411051,21140,0,90,872.0,326.0,2.84272E7,0,0
Closet3,3,1,30120411076,8680,8930,0,1572.0,327.0,5.14044E7,0,0
