BatchNo, BoardNo, Color, UPI, X, Y, R, L, W, Area, Type, SubCode
Others2,1,1,000060012,0,0,0,2113.0,558.0,1.179054E8,0,0
Others2,1,1,000060062,4490,6320,0,1991.0,588.0,1.170708E8,0,0
Others2,1,1,000060083,0,6190,90,601.0,440.0,2.6444E7,0,0
Others2,1,1,000060093,22820,0,90,601.0,158.0,9495800.0,0,0
Others2,1,1,000060306,21740,0,90,578.0,108.0,6242400.0,0,0
Others2,1,1,000060164,21160,0,90,558.0,58.0,3236400.0,0,0
Others2,1,1,000060160,0,5580,0,2163.0,58.0,1.25454E7,0,0
Others2,2,1,000060143,0,0,0,2113.0,528.0,1.115664E8,0,0
Others2,2,1,000060074,4490,7620,0,1991.0,458.0,9.11878E7,0,0
Others2,2,1,000060294,0,6420,90,578.0,448.0,2.58944E7,0,0
Others2,2,1,000060145,23320,0,90,646.0,108.0,6976800.0,0,0
Others2,2,1,000060151,22240,0,90,646.0,108.0,6976800.0,0,0
Others2,2,1,000060152,21160,0,90,646.0,108.0,6976800.0,0,0
Others2,2,1,000060307,18620,6540,0,578.0,108.0,6242400.0,0,0
Others2,2,1,000060103,0,5280,0,2041.0,102.0,2.08182E7,0,0
Others2,2,1,000060030,4480,6340,0,458.0,128.0,5862400.0,0,0
Others2,2,1,000060031,14040,6340,0,458.0,128.0,5862400.0,0,0
Others2,2,1,000060036,9060,6340,0,458.0,128.0,5862400.0,0,0
Others2,3,1,000060015+000060032+000060033,0,0,0,972.0,792.0,7.69824E7,0,0
Others2,3,1,000060022,19520,0,0,488.0,558.0,2.72304E7,0,0
Others2,3,1,000060313,18620,8020,0,578.0,418.0,2.41604E7,0,0
Others2,3,1,000060314,0,8020,0,578.0,418.0,2.41604E7,0,0
Others2,3,1,000060014,19800,7440,0,460.0,58.0,2668000.0,0,0
Others2,3,1,000060067,19830,6860,0,457.0,58.0,2650600.0,0,0
Others2,3,1,000060016+000060038+000060039,9800,0,0,972.0,792.0,7.69824E7,0,0
Others2,3,1,000060037,19820,5580,0,458.0,128.0,5862400.0,0,0
Others2,3,1,000060315,12840,8020,0,578.0,418.0,2.41604E7,0,0
Others2,3,1,000060316,5780,8020,0,578.0,418.0,2.41604E7,0,0
Others2,3,1,000060047,11560,7940,90,426.0,128.0,5452800.0,0,0
Others2,4,1,000060064,0,0,90,457.0,588.0,2.68716E7,0,0
Others2,4,1,000060147,17940,0,0,646.0,528.0,3.41088E7,0,0
Others2,4,1,000060079,4490,7620,0,1991.0,458.0,9.11878E7,0,0
Others2,4,1,000060090,0,6190,90,601.0,437.5,2.629375E7,0,0
Others2,4,1,000060094,0,4570,0,601.0,158.0,9495800.0,0,0
