BatchNo, BoardNo, Color, UPI, X, Y, R, L, W, Area, Type, SubCode
Mixed1,1,1,9333691025,0,0,0,2148.0,545.0,1.17066E8,0,0
Mixed1,1,1,9333691039,2920,6750,0,2148.0,545.0,1.17066E8,0,0
Mixed1,1,1,9335621136,0,8830,0,292.0,337.0,9840400.0,0,0
Mixed1,1,0,9335621212,0,5450,0,472.0,88.0,4153600.0,0,0
Mixed1,1,0,9333691158,4720,5450,0,1396.0,58.0,8096800.0,0,0
Mixed1,1,0,9335621213,21480,0,90,472.0,88.0,4153600.0,0,0
Mixed1,1,0,9333691160,4720,6030,0,1396.0,58.0,8096800.0,0,0
Mixed1,1,0,9333691223,22360,0,0,192.0,337.0,6470400.0,0,0
Mixed1,1,0,9335621186,18680,5450,0,341.0,88.0,3000800.0,0,0
Mixed1,1,0,9333691224,22360,3370,0,192.0,337.0,6470400.0,0,0
Mixed1,2,1,9333691002,18830,0,90,572.0,557.0,3.18604E7,0,0
Mixed1,2,1,9333691104,17120,6620,0,728.0,558.0,4.06224E7,0,0
Mixed1,2,1,9335621237,9110,0,0,972.0,557.0,5.41404E7,0,0
Mixed1,2,1,9333691006,18680,5740,0,572.0,88.0,5033600.0,0,0
Mixed1,2,1,9333691005,11400,6630,0,572.0,557.0,3.18604E7,0,0
Mixed1,2,1,9333691013,5680,6630,0,572.0,557.0,3.18604E7,0,0
Mixed1,2,1,9333691014,3390,0,0,572.0,557.0,3.18604E7,0,0
Mixed1,2,1,9333691020,110,6480,90,572.0,557.0,3.18604E7,0,0
Mixed1,2,1,9335621137,30,0,90,631.0,336.0,2.12016E7,0,0
Mixed1,2,0,9333691128,3390,5570,0,622.0,88.0,5473600.0,0,0
Mixed1,2,0,9333691110,9610,5570,0,872.0,88.0,7673600.0,0,0
Mixed1,3,1,9335621198,0,0,90,588.0,890.0,5.2332E7,0,0
Mixed1,3,1,9335621148,18830,0,90,942.0,557.0,5.24694E7,0,0
Mixed1,3,1,9333691007,0,7130,0,572.0,507.0,2.90004E7,0,0
Mixed1,3,1,9335621143,11680,9920,0,1272.0,228.0,2.90016E7,0,0
Mixed1,3,1,9335621249,13790,0,90,972.0,504.0,4.89888E7,0,0
Mixed1,3,1,9335621156,5720,6950,0,466.0,525.0,2.4465E7,0,0
Mixed1,3,1,9335621204,8900,0,0,472.0,557.0,2.62904E7,0,0
Mixed1,3,1,9333691230,10380,5790,90,413.0,338.0,1.39594E7,0,0
Mixed1,3,0,9335621246,0,5880,0,972.0,88.0,8553600.0,0,0
Mixed1,4,1,9335621155,19140,0,90,826.0,526.0,4.34476E7,0,0
Mixed1,4,1,9333691086,12680,8380,0,1172.0,382.0,4.47704E7,0,0
Mixed1,4,1,9335621140,6420,0,0,1272.0,759.0,9.65448E7,0,0
Mixed1,4,1,9333691087,5400,8370,0,728.0,383.0,2.78824E7,0,0
Mixed1,4,1,9333691112,840,0,90,728.0,558.0,4.06224E7,0,0
Mixed1,4,1,9335621215,110,7480,90,472.0,529.0,2.49688E7,0,0
Mixed1,5,1,9333691008,0,0,90,572.0,507.0,2.90004E7,0,0
Mixed1,5,1,9333691009,19330,0,90,572.0,507.0,2.90004E7,0,0
Mixed1,5,1,9335621146,2320,6620,0,2208.0,558.0,1.232064E8,0,0
Mixed1,5,1,9335621203,0,7480,90,472.0,228.0,1.07616E7,0,0
Mixed1,5,1,9333691010,5070,0,90,572.0,507.0,2.90004E7,0,0
Mixed1,5,1,9333691017,13610,0,0,572.0,108.0,6177600.0,0,0
Mixed1,5,1,9333691029,13610,1080,0,572.0,507.0,2.90004E7,0,0
Mixed1,5,1,9335621138,10140,0,90,631.0,336.0,2.12016E7,0,0
Mixed1,5,0,9335621247,0,5720,0,972.0,88.0,8553600.0,0,0
Mixed1,6,1,9333691049,2920,0,0,2148.0,545.0,1.17066E8,0,0
Mixed1,6,1,9333691003,2920,6620,0,2148.0,558.0,1.198584E8,0,0
Mixed1,6,1,9333691154,15680,5450,0,872.0,108.0,9417600.0,0,0
Mixed1,6,1,9333691169,6960,5450,0,872.0,108.0,9417600.0,0,0
Mixed1,6,1,9333691203,50,0,90,910.0,287.0,2.6117E7,0,0
Mixed1,7,1,9333691121,17120,0,0,728.0,558.0,4.06224E7,0,0
Mixed1,7,1,9335621154,14980,6930,0,942.0,527.0,4.96434E7,0,0
Mixed1,7,1,9333691027,18680,6050,0,572.0,88.0,5033600.0,0,0
Mixed1,7,1,9335621243,7400,0,0,972.0,557.0,5.41404E7,0,0
Mixed1,7,1,9333691243,5880,6620,0,910.0,558.0,5.0778E7,0,0
Mixed1,7,1,9333691127,12460,5580,0,622.0,88.0,5473600.0,0,0
Mixed1,7,1,9333691177,120,0,0,728.0,558.0,4.06224E7,0,0
Mixed1,7,1,9335621214,7740,5570,0,472.0,98.0,4625600.0,0,0
Mixed1,7,1,9333691021,160,6630,0,572.0,557.0,3.18604E7,0,0
Mixed1,7,0,9333691102,0,5580,0,772.0,88.0,6793600.0,0,0
Mixed1,8,1,9335621251,0,0,0,972.0,524.0,5.09328E7,0,0
Mixed1,8,1,9333691136,20820,0,90,728.0,358.0,2.60624E7,0,0
Mixed1,8,1,9335621173,0,6930,0,942.0,527.0,4.96434E7,0,0
Mixed1,8,1,9335621216,19110,7480,90,472.0,529.0,2.49688E7,0,0
Mixed1,8,1,9333691023,15100,0,0,572.0,557.0,3.18604E7,0,0
Mixed1,8,1,9333691063,0,5240,0,572.0,108.0,6177600.0,0,0
Mixed1,8,1,9333691024,13390,6630,0,572.0,557.0,3.18604E7,0,0
Mixed1,8,1,9333691030,10030,0,90,572.0,507.0,2.90004E7,0,0
Mixed1,8,1,9333691125,9420,5980,90,622.0,358.0,2.22676E7,0,0
Mixed1,8,0,9333691119,13000,5720,0,772.0,88.0,6793600.0,0,0
Mixed1,9,1,9333691176,19125,0,90,872.0,527.5,4.5998E7,0,0
Mixed1,9,1,9333691152,4820,8820,0,1958.0,338.0,6.61804E7,0,0
Mixed1,9,1,9333691185,13850,0,90,872.0,527.5,4.5998E7,0,0
Mixed1,9,1,9335621200+9333691221+9333691222+9333691268+9333691275+9333691216,4950,0,0,890.0,871.0,7.7519E7,0,0
Mixed1,9,1,9335621209,230,0,0,472.0,557.0,2.62904E7,0,0
Mixed1,9,1,9335621157,160,6950,0,466.0,525.0,2.4465E7,0,0
Mixed1,10,1,9333691108,0,0,90,872.0,558.0,4.86576E7,0,0
Mixed1,10,1,9335621158,18820,0,90,588.0,558.0,3.28104E7,0,0
Mixed1,10,1,9333691034,18680,6630,0,572.0,557.0,3.18604E7,0,0
Mixed1,10,1,9333691237,0,8820,0,413.0,338.0,1.39594E7,0,0
Mixed1,10,1,9333691245,4130,11320,0,910.0,88.0,8008000.0,0,0
Mixed1,10,1,9333691035,5580,0,0,572.0,557.0,3.18604E7,0,0
Mixed1,10,1,9333691186,11540,0,0,728.0,558.0,4.06224E7,0,0
Mixed1,10,1,9333691043,13610,6480,90,572.0,507.0,2.90004E7,0,0
Mixed1,10,1,9333691099,5580,5740,0,772.0,558.0,4.30776E7,0,0
Mixed1,11,1,9333691061,18820,0,0,558.0,545.0,3.0411E7,0,0
Mixed1,11,1,9333691015,18820,6620,0,558.0,558.0,3.11364E7,0,0
Mixed1,11,1,9333691172,13240,0,90,872.0,558.0,4.86576E7,0,0
Mixed1,11,1,9333691217,11540,8820,0,728.0,338.0,2.46064E7,0,0
Mixed1,11,1,9335621134,520,0,0,1272.0,752.03,9.565821599999999E7,0,0
Mixed1,11,1,9335621175,6290,7540,90,466.0,525.0,2.4465E7,0,0
Mixed1,11,1,9335621176,1040,7540,90,466.0,525.0,2.4465E7,0,0
Mixed1,12,1,9333691101,16680,0,0,772.0,88.0,6793600.0,0,0
Mixed1,12,1,9335621165,2320,6620,0,2208.0,558.0,1.232064E8,0,0
Mixed1,12,1,9335621191,2320,880,0,2208.0,558.0,1.232064E8,0,0
Mixed1,12,1,9333691028,10960,0,0,572.0,88.0,5033600.0,0,0
Mixed1,12,1,9333691139,4740,0,0,622.0,88.0,5473600.0,0,0
Mixed1,12,1,9335621160,40,0,90,942.0,228.0,2.14776E7,0,0
Mixed1,13,1,9335621177,18820,0,90,588.0,558.0,3.28104E7,0,0
Mixed1,13,1,9335621232,14980,6930,0,942.0,527.0,4.96434E7,0,0
Mixed1,13,1,9333691109,15680,6050,0,872.0,88.0,7673600.0,0,0
Mixed1,13,1,9333691037,13100,0,0,572.0,557.0,3.18604E7,0,0
Mixed1,13,1,9335621161,5560,6630,0,942.0,557.0,5.24694E7,0,0
Mixed1,13,1,9333691195,5820,0,0,728.0,558.0,4.06224E7,0,0
Mixed1,13,1,9333691111,6960,5750,0,872.0,88.0,7673600.0,0,0
Mixed1,13,1,9333691038,100,0,0,572.0,557.0,3.18604E7,0,0
Mixed1,13,1,9333691044,490,6480,90,572.0,507.0,2.90004E7,0,0
Mixed1,13,0,9333691140,0,5580,0,622.0,88.0,5473600.0,0,0
Mixed1,14,1,9335621179,0,0,90,942.0,228.0,2.14776E7,0,0
Mixed1,14,1,9335621192,2320,0,0,2208.0,558.0,1.232064E8,0,0
Mixed1,14,1,9335621195,15690,11220,0,871.0,98.0,8535800.0,0,0
Mixed1,14,1,9335621153,0,11220,0,942.0,98.0,9231600.0,0,0
Mixed1,14,1,9335621207,2320,5640,0,2208.0,558.0,1.232064E8,0,0
