BatchNo, BoardNo, Color, UPI, X, Y, R, L, W, Area, Type, SubCode
Cabinet2,1,1,20663981069,0,0,0,708.0,358.0,2.53464E7,0,0
Cabinet2,1,1,20663981071,17320,0,0,708.0,358.0,2.53464E7,0,0
Cabinet2,1,1,20663981081,17320,8620,0,708.0,358.0,2.53464E7,0,0
Cabinet2,1,1,20663981083,0,8620,0,708.0,358.0,2.53464E7,0,0
Cabinet2,1,1,20710131060,0,3580,0,708.0,358.0,2.53464E7,0,0
Cabinet2,1,1,20712531060,21030,3580,90,171.0,337.0,5762700.0,0,0
Cabinet2,1,0,20648361104,7080,0,90,808.0,343.0,2.77144E7,0,0
Cabinet2,1,0,20688201112,10510,0,0,569.5,881.0,5.017295E7,0,0
Cabinet2,1,0,20648361121,7080,8810,0,388.0,276.0,1.07088E7,0,0
Cabinet2,1,0,20712531041,16205,5290,0,751.0,333.0,2.50083E7,0,0
Cabinet2,1,0,20712531010,10960,8810,90,271.0,567.0,1.53657E7,0,0
Cabinet2,1,0,20687051066,0,7160,0,421.0,108.0,4546800.0,0,0
Cabinet2,1,0,20688201063,16205,3580,90,170.0,474.0,8058000.0,0,0
Cabinet2,1,0,20710131018,7080,11570,0,358.0,63.0,2255400.0,0,0
Cabinet2,1,0,20712531027,10960,11520,90,68.0,266.0,1808800.0,0,0
Cabinet2,1,0,20712531011,4210,7160,0,271.0,108.0,2926800.0,0,0
Cabinet2,1,0,20710131055,0,8240,0,708.0,38.0,2690400.0,0,0
Cabinet2,1,0,20648361040,16205,0,90,343.0,108.0,3704400.0,0,0
Cabinet2,1,0,20663981036,13620,11520,90,68.0,298.0,2026400.0,0,0
Cabinet2,1,0,20648361041,7080,8080,90,68.0,343.0,2332400.0,0,0
Cabinet2,1,0,20688201116,16630,8620,0,68.0,358.0,2434400.0,0,0
Cabinet2,1,0,20710131017,23715,5290,0,68.0,321.0,2182800.0,0,0
Cabinet2,2,1,20711281041,6320,0,0,1808.0,568.0,1.026944E8,0,0
Cabinet2,2,1,20711281042,6320,6520,0,1808.0,568.0,1.026944E8,0,0
Cabinet2,2,1,20663981002,640,0,90,708.0,568.0,4.02144E7,0,0
Cabinet2,2,1,20663981089,90,8450,0,623.0,375.0,2.33625E7,0,0
Cabinet2,2,0,20688201143,6320,5680,0,690.0,44.0,3036000.0,0,0
Cabinet2,2,0,20711281068,13220,5680,0,614.0,40.0,2456000.0,0,0
Cabinet2,2,0,20688201006,0,7080,90,68.0,621.0,4222800.0,0,0
Cabinet2,2,0,20710131057,6320,6120,0,708.0,38.0,2690400.0,0,0
Cabinet2,2,0,20688201144,13400,6080,90,44.0,568.0,2499200.0,0,0
Cabinet2,2,0,20663981111,0,0,90,708.0,58.0,4106400.0,0,0
Cabinet2,2,0,20712531012,0,7760,90,68.0,271.0,1842800.0,0,0
Cabinet2,2,0,20663981022,19360,5680,90,68.0,471.0,3202800.0,0,0
Cabinet2,2,0,20688201119,2710,7760,90,68.0,358.0,2434400.0,0,0
Cabinet2,3,1,20663981003,18720,0,90,708.0,568.0,4.02144E7,0,0
Cabinet2,3,1,20688201109,18520,8620,0,588.0,358.0,2.10504E7,0,0
Cabinet2,3,1,20663981012,11640,0,0,708.0,568.0,4.02144E7,0,0
Cabinet2,3,1,20663981013,11440,6520,0,708.0,568.0,4.02144E7,0,0
Cabinet2,3,1,20663981018,4560,0,0,708.0,568.0,4.02144E7,0,0
Cabinet2,3,1,20663981019,4360,6520,0,708.0,568.0,4.02144E7,0,0
Cabinet2,3,1,20687051091+20688201078,980,0,90,560.5,358.0,2.00659E7,0,0
Cabinet2,3,1,20663981098,610,6490,90,571.0,375.0,2.14125E7,0,0
Cabinet2,3,0,20663981067,0,5680,90,68.0,276.0,1876800.0,0,0
