BatchNo, BoardNo, Color, Specification, BoardArea, WorkPiecesQty, WorkPiecesArea, Ratio, OddArea
Cabinet3,1,0,24400*12200,2.9768E8,11,2.949155E8,99.07131819403386%,
Cabinet3,2,0,24400*12200,2.9768E8,9,2.923348E8,98.20438054286481%,
Cabinet3,3,0,24400*12200,2.9768E8,10,2.924615348E8,98.24695471647408%,
Cabinet3,4,0,24400*12200,2.9768E8,14,2.943422E8,98.87872883633432%,
Cabinet3,5,0,24400*12200,2.9768E8,17,2.962291E8,99.51259742004837%,
Cabinet3,6,0,24400*12200,2.9768E8,11,2.953081E8,99.20320478366031%,
Cabinet3,7,0,24400*12200,2.9768E8,9,1.496942E8,50.286952432141895%,
Cabinet3,8,0,24400*12200,2.9768E8,9,2.943085E8,98.86740795485083%,
Cabinet3,9,0,24400*12200,2.9768E8,8,2.960322E8,99.44645256651438%,
Cabinet3,10,0,24400*12200,2.9768E8,11,2.930089648E8,98.43085353399623%,
Cabinet3,11,0,24400*12200,2.9768E8,10,2.966582E8,99.6567454985219%,
Cabinet3,12,0,24400*12200,2.9768E8,10,2.952388E8,99.17992475141092%,
Cabinet3,13,0,24400*12200,2.9768E8,11,2.923444E8,98.20760548239721%,
Cabinet3,14,0,24400*12200,2.9768E8,12,2.965941E8,99.63521230851923%,
Cabinet3,15,0,24400*12200,2.9768E8,9,2.97026E8,99.78030099435635%,
Cabinet3,16,0,24400*12200,2.9768E8,12,2.939493E8,98.74674146734749%,
Cabinet3,17,0,24400*12200,2.9768E8,11,2.946042E8,98.9667428110723%,
Cabinet3,18,0,24400*12200,2.9768E8,8,2.954235E8,99.24197124428918%,
Cabinet3,19,0,24400*12200,2.9768E8,11,2.925641E8,98.28140956732061%,
Cabinet3,20,0,24400*12200,2.9768E8,6,2.943676E8,98.88726148884709%,
Cabinet3,21,0,24400*12200,2.9768E8,12,2.945987E8,98.9648951894652%,
Cabinet3,22,0,24400*12200,2.9768E8,13,2.942845E8,98.85934560601989%,
Cabinet3,23,0,24400*12200,2.9768E8,11,2.961371E8,99.48169174952969%,
Cabinet3,24,0,24400*12200,2.9768E8,14,2.91827E8,98.03379467884977%,
Cabinet3,25,0,24400*12200,2.9768E8,10,2.960926E8,99.4667428110723%,
Cabinet3,26,0,24400*12200,2.9768E8,12,2.923302E8,98.2028352593389%,
Cabinet3,27,0,24400*12200,2.9768E8,10,2.919655E8,98.08032115022843%,
Cabinet3,28,0,24400*12200,2.9768E8,9,2.952225E8,99.17444907282989%,
Cabinet3,29,0,24400*12200,2.9768E8,12,2.94808E8,99.03520558989518%,
Cabinet3,30,0,24400*12200,2.9768E8,15,2.944134E8,98.90264713786617%,
Cabinet3,31,0,24400*12200,2.9768E8,11,2.942737E8,98.85571754904596%,
Cabinet3,32,0,24400*12200,2.9768E8,5,2.946484E8,98.98159097016931%,
Cabinet3,33,0,24400*12200,2.9768E8,14,2.93724E8,98.67105616769685%,
Cabinet3,34,0,24400*12200,2.9768E8,13,2.934615E8,98.58287422735825%,
Cabinet3,35,0,24400*12200,2.9768E8,9,2.944302E8,98.90829078204783%,
Cabinet3,36,0,24400*12200,2.9768E8,13,2.930924E8,98.45888202096212%,
Cabinet3,37,0,24400*12200,2.9768E8,12,2.94547E8,98.94752754635851%,
Cabinet3,38,0,24400*12200,2.9768E8,9,2.956104E8,99.30475678581027%,
Cabinet3,39,0,24400*12200,2.9768E8,8,2.961265E8,99.47813087879602%,
Cabinet3,40,0,24400*12200,2.9768E8,12,2.952614E8,99.18751679656006%,
Cabinet3,41,0,24400*12200,2.9768E8,12,2.942778E8,98.85709486697125%,
Cabinet3,42,0,24400*12200,2.9768E8,12,2.940229E8,98.77146600376243%,
Cabinet3,43,0,24400*12200,2.9768E8,12,2.945778E8,98.95787422735825%,
Cabinet3,44,0,24400*12200,2.9768E8,13,2.95022E8,99.10709486697125%,
Cabinet3,45,1,24400*12200,2.9768E8,7,2.928914E8,98.39135984950283%,
Cabinet3,46,1,24400*12200,2.9768E8,6,2.949133E8,99.07057914539102%,
Cabinet3,47,1,24400*12200,2.9768E8,4,2.807592E8,94.31577532921257%,
Cabinet3,48,1,24400*12200,2.9768E8,6,2.819005932E8,94.69920491803279%,
Cabinet3,49,1,24400*12200,2.9768E8,5,2.900982E8,97.45303681805966%,
Cabinet3,50,1,24400*12200,2.9768E8,5,2.904796E8,97.58116097823165%,
Cabinet3,51,1,24400*12200,2.9768E8,5,2.862552E8,96.16205321150228%,
Cabinet3,52,1,24400*12200,2.9768E8,6,2.8866E8,96.96990056436442%,
Cabinet3,53,1,24400*12200,2.9768E8,6,2.914505E8,97.9073165815641%,
Cabinet3,54,1,24400*12200,2.9768E8,7,2.908168E8,97.69443697930663%,
Cabinet3,55,1,24400*12200,2.9768E8,5,2.908548E8,97.70720236495566%,
Cabinet3,56,1,24400*12200,2.9768E8,6,2.895232E8,97.25987637731792%,
Cabinet3,57,1,24400*12200,2.9768E8,7,2.929222E8,98.40170653050257%,
Cabinet3,58,1,24400*12200,2.9768E8,5,2.870149E8,96.41726014512228%,
Cabinet3,59,1,24400*12200,2.9768E8,6,2.886618E8,96.97050524052673%,
Cabinet3,60,1,24400*12200,2.9768E8,5,2.850483E8,95.75661784466541%,
Cabinet3,61,1,24400*12200,2.9768E8,7,2.869919E8,96.40953372749262%,
Cabinet3,62,1,24400*12200,2.9768E8,8,2.903128932E8,97.52515896264444%,
Cabinet3,63,1,24400*12200,2.9768E8,5,2.887206E8,96.99025799516258%,
Cabinet3,64,1,24400*12200,2.9768E8,3,2.722858E8,91.46929588820208%,
Cabinet3,65,1,24400*12200,2.9768E8,5,2.834996E8,95.23636119322764%,
Cabinet3,66,1,24400*12200,2.9768E8,3,2.722858E8,91.46929588820208%,
Cabinet3,67,1,24400*12200,2.9768E8,3,2.72441E8,91.5214324106423%,
Cabinet3,68,1,24400*12200,2.9768E8,6,2.926806E8,98.32054555227089%,
Cabinet3,69,1,24400*12200,2.9768E8,4,2.807592E8,94.31577532921257%,
Cabinet3,70,1,24400*12200,2.9768E8,7,2.809142E8,94.36784466541252%,
Cabinet3,71,1,24400*12200,2.9768E8,6,2.908339E8,97.7001814028487%,
Cabinet3,72,1,24400*12200,2.9768E8,6,2.875852E8,96.60884170921796%,
Cabinet3,73,1,24400*12200,2.9768E8,8,2.926841E8,98.32172131147541%,
Cabinet3,74,1,24400*12200,2.9768E8,5,2.8401E8,95.40782047836602%,
Cabinet3,75,1,24400*12200,2.9768E8,7,2.947722E8,99.02317925288901%,
Cabinet3,76,1,24400*12200,2.9768E8,7,2.89339E8,97.19799785004032%,
Cabinet3,77,1,24400*12200,2.9768E8,4,2.675661932E8,89.88383270626176%,
Cabinet3,78,1,24400*12200,2.9768E8,4,2.8942E8,97.2252082773448%,
Cabinet3,79,1,24400*12200,2.9768E8,4,2.803584E8,94.18113410373556%,
Cabinet3,80,1,24400*12200,2.9768E8,6,2.862153932E8,96.14868086535877%,
Cabinet3,81,1,24400*12200,2.9768E8,7,2.870071E8,96.41463988175222%,
Cabinet3,82,1,24400*12200,2.9768E8,4,2.819248E8,94.70733673743618%,
Cabinet3,83,1,24400*12200,2.9768E8,5,2.893518E8,97.20229776941683%,
Cabinet3,84,1,24400*12200,2.9768E8,7,2.929222E8,98.40170653050257%,
Cabinet3,85,1,24400*12200,2.9768E8,5,2.938604E8,98.7168771835528%,
Cabinet3,86,1,24400*12200,2.9768E8,6,2.816705E8,94.62190943294813%,
Cabinet3,87,1,24400*12200,2.9768E8,7,2.91966E8,98.08048911582908%,
Cabinet3,88,1,24400*12200,2.9768E8,7,2.865568E8,96.26337006181134%,
Cabinet3,89,1,24400*12200,2.9768E8,6,2.892378E8,97.16400161246978%,
Cabinet3,90,1,24400*12200,2.9768E8,5,2.831076E8,95.10467616232197%,
Cabinet3,91,1,24400*12200,2.9768E8,7,2.946825E8,98.9930462241333%,
Cabinet3,92,1,24400*12200,2.9768E8,4,2.894976E8,97.25127653856491%,
Cabinet3,93,1,24400*12200,2.9768E8,4,2.803584E8,94.18113410373556%,
Cabinet3,94,1,24400*12200,2.9768E8,5,2.846339932E8,95.6174392636388%,
Cabinet3,95,1,24400*12200,2.9768E8,4,2.662398E8,89.4382558452029%,
Cabinet3,96,1,24400*12200,2.9768E8,4,2.8404145E8,95.4183855146466%,
Cabinet3,97,1,24400*12200,2.9768E8,3,2.72441E8,91.5214324106423%,
Cabinet3,98,1,24400*12200,2.9768E8,6,2.895642E8,97.27364955657082%,
Cabinet3,99,1,24400*12200,2.9768E8,7,2.909296E8,97.73233001881214%,
Cabinet3,100,1,24400*12200,2.9768E8,3,2.630608E8,88.37033055630206%,
Cabinet3,101,1,24400*12200,2.9768E8,7,2.86827E8,96.3541386723999%,
Cabinet3,102,1,24400*12200,2.9768E8,8,2.861419E8,96.12399220639612%,
Cabinet3,103,1,24400*12200,2.9768E8,5,2.82332E8,94.84412792260146%,
Cabinet3,104,1,24400*12200,2.9768E8,5,2.929055E8,98.396096479441%,
Cabinet3,105,1,24400*12200,2.9768E8,5,2.814831E8,94.5589559258264%,
Cabinet3,106,1,24400*12200,2.9768E8,7,2.930577E8,98.44722520827733%,
Cabinet3,107,1,24400*12200,2.9768E8,8,2.899685E8,97.40946654125236%,
Cabinet3,108,1,24400*12200,2.9768E8,8,2.902232E8,97.49502821822091%,
Cabinet3,109,1,24400*12200,2.9768E8,7,2.862008E8,96.14377855415212%,
Cabinet3,110,1,24400*12200,2.9768E8,8,2.904476E8,97.57041117979038%,
Cabinet3,111,1,24400*12200,2.9768E8,6,2.795295E8,93.90268073098629%,
Cabinet3,112,1,24400*12200,2.9768E8,4,2.774562E8,93.20619457135179%,
Cabinet3,113,1,24400*12200,2.9768E8,7,2.857482E8,95.99173609244826%,
Cabinet3,114,1,24400*12200,2.9768E8,5,2.843393E8,95.51844262295081%,
Cabinet3,115,1,24400*12200,2.9768E8,6,2.854793E8,95.90140419242138%,
Cabinet3,116,1,24400*12200,2.9768E8,5,2.825616E8,94.92125772641764%,
Cabinet3,117,1,24400*12200,2.9768E8,5,2.744779932E8,92.20572198333781%,
Cabinet3,118,1,24400*12200,2.9768E8,5,2.928252E8,98.36912120397743%,
Cabinet3,119,1,24400*12200,2.9768E8,4,2.8404145E8,95.4183855146466%,
Cabinet3,120,1,24400*12200,2.9768E8,4,2.8304875E8,95.08490661112604%,
Cabinet3,121,1,24400*12200,2.9768E8,1,2.75904E8,92.6847621607095%,
Cabinet3,122,1,24400*12200,2.9768E8,2,1.978884E8,66.47688793335125%,
Cabinet3,123,1,24400*12200,2.9768E8,8,2.88902E8,97.0511959150766%,
Cabinet3,124,1,24400*12200,2.9768E8,1,2.75904E8,92.6847621607095%,
Cabinet3,125,1,24400*12200,2.9768E8,4,2.8347325E8,95.22750940607365%,
