Container length: 24400
Container width: 12200
Boxes Volume: 2.067708593E8
Container Volume: 297680000
Utilization: 69.46078315640958

Packed Boxes: 24
format: x y length width
0 0  9000 1580
0 11190  5550 1010
0 10000  5540 1190
0 1580  2990 7165
0 8810  5540 1190
2990 1580  5540 1350
5550 11190  5550 1010
2990 2930  1350 5540
5540 10180  5550 1010
4340 2930  1010 5550
5540 8990  5540 1190
5350 2930  5550 1010
5350 7460  5540 1350
9000 0  5540 1190
5350 3940  5540 1350
5350 6310  5540 1150
8530 1580  5550 1010
11100 10820  9380 1380
11090 9230  6050 1590
10900 2590  9000 2790
11080 7830  5750 1400
14540 0  5540 1150
10890 6680  5540 1150
14080 1190  5540 1150

numOfBlemishes: 0
