BatchNo, BoardNo, Color, Specification, BoardArea, WorkPiecesQty, WorkPiecesArea, Ratio, OddArea
Closet2,1,0,24400*12200,2.9768E8,22,2.938764E8,98.72225208277345%,
Closet2,2,0,24400*12200,2.9768E8,5,8.47528E7,28.47110991668906%,
Closet2,3,0,24400*12200,2.9768E8,14,2.915603E8,97.94420182746573%,
Closet2,4,0,24400*12200,2.9768E8,8,2.92997E8,98.42683418435904%,
Closet2,5,0,24400*12200,2.9768E8,13,2.9293005E8,98.40434359043267%,
Closet2,6,1,24400*12200,2.9768E8,4,2.32892E8,78.23568933082505%,
Closet2,7,1,24400*12200,2.9768E8,9,2.800226E8,94.06832840634239%,
Closet2,8,1,24400*12200,2.9768E8,10,2.809704E8,94.38672399892502%,
Closet2,9,1,24400*12200,2.9768E8,7,2.83398E8,95.20223058317656%,
Closet2,10,1,24400*12200,2.9768E8,2,2.61786E8,87.9420854608976%,
Closet2,11,1,24400*12200,2.9768E8,8,2.861946E8,96.14169578070411%,
Closet2,12,1,24400*12200,2.9768E8,8,2.893252E8,97.19336199946251%,
Closet2,13,1,24400*12200,2.9768E8,2,8.05728E7,27.066917495296966%,
Closet2,14,1,24400*12200,2.9768E8,6,2.7562705E8,92.59172601451223%,
Closet2,15,1,24400*12200,2.9768E8,1,2.347887E8,78.87285004031175%,
