BatchNo, BoardNo, Color, Specification, BoardArea, WorkPiecesQty, WorkPiecesArea, Ratio, OddArea
Others2,1,0,24400*12200,2.9768E8,8,2.65572E8,89.21392098898146%,
Others2,2,0,24400*12200,2.9768E8,12,2.830967E8,95.10101451222789%,
Others2,3,0,24400*12200,2.9768E8,13,2.512661E8,84.40812281644719%,
Others2,4,0,24400*12200,2.9768E8,8,2.834064E8,95.2050524052674%,
Others2,5,0,24400*12200,2.9768E8,1,7.03308E7,23.62631013168503%,
Others2,6,0,24400*12200,2.9768E8,8,2.763097E8,92.82104944907283%,
Others2,7,1,24400*12200,2.9768E8,7,2.939184E8,98.73636119322764%,
Others2,8,1,24400*12200,2.9768E8,14,2.915109E8,97.92760682612202%,
Others2,9,1,24400*12200,2.9768E8,9,2.935704E8,98.6194571351787%,
Others2,10,1,24400*12200,2.9768E8,12,2.9170235E8,97.99192085460898%,
Others2,11,1,24400*12200,2.9768E8,18,2.910042E8,97.75739048642838%,
Others2,12,1,24400*12200,2.9768E8,11,2.942078E8,98.83357968288094%,
Others2,13,1,24400*12200,2.9768E8,10,2.945576E8,98.95108841709218%,
Others2,14,1,24400*12200,2.9768E8,12,2.89995E8,97.41836871808654%,
Others2,15,1,24400*12200,2.9768E8,13,2.897518E8,97.33667024993281%,
Others2,16,1,24400*12200,2.9768E8,8,1.57244E8,52.823165815640955%,
