Container length: 24400
Container width: 12200
Boxes Volume: 2.876996E8
Container Volume: 297680000
Utilization: 96.64727223864553

Packed Boxes: 19
format: x y length width
0 0  3430 2210
23320 0  1080 8920
0 3490  1080 8710
16900 9170  7500 3030
17610 0  5710 5170
1080 7720  5700 4480
0 2210  8710 1080
3430 0  9910 1080
17090 5420  6230 3750
1080 3290  5670 4210
3430 1080  9910 1080
6780 7110  4180 5090
13590 0  4020 2660
11190 7030  5710 5170
9000 2660  8610 1080
6750 3290  2210 3670
9000 3740  8610 1080
9380 4820  7710 1080
9010 5950  8080 1080

numOfBlemishes: 0
